Kare_No,PSNR_dB,SSIM
267,27.28,0.8607
268,27.10,0.8586
269,27.18,0.8598
270,27.05,0.8611
271,27.29,0.8633
272,27.28,0.8619
273,27.37,0.8641
274,27.38,0.8622
275,27.29,0.8625
276,27.31,0.8607
277,27.44,0.8630
278,27.23,0.8599
279,27.37,0.8622
280,27.17,0.8592
281,27.33,0.8619
282,27.30,0.8601
283,27.33,0.8617
284,27.30,0.8600
285,27.34,0.8615
286,27.28,0.8597
287,27.41,0.8629
288,27.34,0.8613
289,27.48,0.8632
290,27.17,0.8594
291,27.40,0.8624
292,27.38,0.8609
293,27.38,0.8629
294,27.38,0.8618
295,27.37,0.8627
296,27.34,0.8609
297,27.51,0.8629
298,27.32,0.8602
299,27.42,0.8611
300,27.25,0.8622
301,27.38,0.8636
302,27.35,0.8617
303,27.50,0.8642
304,27.51,0.8625
305,27.36,0.8628
306,27.35,0.8612
307,27.45,0.8639
308,27.24,0.8609
309,27.43,0.8634
310,27.23,0.8606
311,27.39,0.8635
312,27.36,0.8616
313,27.43,0.8641
314,27.39,0.8618
315,27.34,0.8627
316,27.34,0.8609
317,27.51,0.8637
318,27.37,0.8614
319,27.51,0.8639
320,27.24,0.8603
321,27.37,0.8625
322,27.31,0.8604
323,27.30,0.8618
324,27.26,0.8602
325,27.09,0.8602
326,27.05,0.8587
327,27.23,0.8614
328,27.12,0.8598
329,27.23,0.8614
330,27.15,0.8619
331,27.35,0.8640
332,27.29,0.8622
333,27.40,0.8646
334,27.41,0.8628
335,27.32,0.8639
336,27.27,0.8619
337,27.38,0.8646
338,27.22,0.8620
339,27.35,0.8640
340,27.12,0.8606
341,27.31,0.8630
342,27.29,0.8610
343,27.30,0.8624
344,27.26,0.8607
345,27.23,0.8624
346,27.29,0.8611
347,27.44,0.8630
348,27.29,0.8607
349,27.44,0.8633
350,27.18,0.8596
351,27.39,0.8628
352,27.37,0.8615
353,27.40,0.8630
354,27.38,0.8620
355,27.26,0.8626
356,27.25,0.8609
357,27.42,0.8627
358,27.34,0.8610
359,27.46,0.8622
360,27.33,0.8593
361,27.43,0.8627
362,27.34,0.8609
363,27.38,0.8635
364,27.37,0.8615
365,27.27,0.8619
366,27.25,0.8601
367,27.38,0.8628
368,27.14,0.8597
369,27.31,0.8623
370,27.09,0.8589
371,27.28,0.8617
372,27.22,0.8596
373,27.27,0.8613
374,27.25,0.8597
375,27.14,0.8615
376,27.18,0.8598
377,27.26,0.8624
378,27.08,0.8600
379,27.29,0.8624
380,27.20,0.8595
381,27.42,0.8619
382,27.41,0.8599
383,27.39,0.8612
384,27.41,0.8596
385,27.33,0.8608
386,27.27,0.8589
387,27.40,0.8613
388,27.25,0.8592
389,27.35,0.8605
390,27.20,0.8621
391,27.39,0.8641
392,27.34,0.8627
393,27.40,0.8650
394,27.42,0.8636
395,27.36,0.8644
396,27.35,0.8627
397,27.47,0.8647
398,27.25,0.8611
399,27.47,0.8640
400,27.33,0.8615
401,27.50,0.8643
402,27.45,0.8623
403,27.40,0.8637
404,27.33,0.8616
405,27.28,0.8630
406,27.28,0.8614
407,27.39,0.8641
408,27.27,0.8616
409,27.49,0.8636
410,27.28,0.8601
411,27.50,0.8626
412,27.43,0.8605
413,27.39,0.8619
414,27.35,0.8603
415,27.28,0.8616
416,27.21,0.8603
417,27.33,0.8621
418,27.20,0.8596
419,27.31,0.8607
420,27.23,0.8612
421,27.43,0.8633
422,27.39,0.8619
423,27.53,0.8644
424,27.52,0.8626
425,27.43,0.8629
426,27.48,0.8614
427,27.62,0.8637
428,27.48,0.8610
429,27.62,0.8632
430,27.41,0.8601
431,27.56,0.8627
432,27.52,0.8609
433,27.53,0.8620
434,27.48,0.8601
435,27.46,0.8611
436,27.47,0.8592
437,27.63,0.8617
438,27.40,0.8592
439,27.59,0.8616
440,27.27,0.8583
441,27.48,0.8610
442,27.51,0.8595
443,27.55,0.8612
444,27.55,0.8602
445,27.47,0.8609
446,27.55,0.8599
447,27.75,0.8620
448,27.61,0.8600
449,27.69,0.8608
450,27.56,0.8617
451,27.74,0.8640
452,27.65,0.8624
453,27.62,0.8639
454,27.60,0.8623
455,27.47,0.8628
456,27.41,0.8611
457,27.57,0.8633
458,27.37,0.8604
459,27.45,0.8624
460,27.15,0.8593
461,27.31,0.8617
462,27.26,0.8601
463,27.30,0.8632
464,27.22,0.8614
465,27.14,0.8622
466,27.10,0.8598
467,27.18,0.8616
468,27.04,0.8592
469,27.24,0.8621
470,26.99,0.8592
471,27.17,0.8617
472,27.16,0.8596
473,27.17,0.8609
474,27.21,0.8592
475,27.17,0.8594
476,27.19,0.8577
477,27.34,0.8601
478,27.17,0.8579
479,27.28,0.8593
480,27.26,0.8577
481,27.50,0.8617
482,27.50,0.8602
483,27.46,0.8621
484,27.38,0.8602
485,27.29,0.8616
486,27.30,0.8602
487,27.56,0.8665
488,27.35,0.8642
489,27.50,0.8662
490,27.30,0.8626
491,27.52,0.8672
492,27.49,0.8658
493,27.47,0.8665
494,27.37,0.8638
495,27.34,0.8654
496,27.37,0.8634
497,27.54,0.8661
498,27.36,0.8627
499,27.49,0.8642
500,27.26,0.8625
501,27.62,0.8693
502,27.60,0.8680
503,27.66,0.8699
504,27.61,0.8667
505,27.58,0.8698
506,27.58,0.8688
507,27.81,0.8732
508,27.52,0.8681
509,27.66,0.8698
510,27.48,0.8685
511,27.67,0.8711
512,27.56,0.8677
513,27.64,0.8707
514,27.63,0.8697
515,27.50,0.8711
516,27.48,0.8684
517,27.77,0.8740
518,27.55,0.8707
519,27.63,0.8719
520,27.28,0.8675
521,27.42,0.8699
522,27.34,0.8675
523,27.36,0.8686
524,27.35,0.8667
525,27.22,0.8672
526,27.22,0.8649
527,27.55,0.8728
528,27.38,0.8704
529,27.61,0.8722
530,27.35,0.8675
531,27.57,0.8697
532,27.55,0.8675
533,27.50,0.8683
534,27.50,0.8665
535,27.40,0.8684
536,27.37,0.8667
537,27.56,0.8694
538,27.46,0.8668
539,27.60,0.8688
540,27.49,0.8708
541,27.69,0.8732
542,27.51,0.8693
543,27.52,0.8720
544,27.52,0.8705
545,27.40,0.8715
546,27.40,0.8710
