Kare_No,PSNR_dB,SSIM
0,27.81,0.8916
1,27.99,0.8930
2,28.02,0.8933
3,28.09,0.8950
4,28.14,0.8943
5,28.17,0.8915
6,28.24,0.8956
7,28.47,0.8975
8,28.24,0.8950
9,28.48,0.8989
10,28.12,0.8950
11,28.23,0.8966
12,28.27,0.8976
13,28.44,0.9016
14,28.51,0.8993
15,28.39,0.9006
16,28.40,0.8993
17,28.61,0.9030
18,28.38,0.9031
19,28.64,0.9073
20,28.26,0.9046
21,28.46,0.9049
22,28.35,0.9042
23,28.45,0.9076
24,28.65,0.9095
25,28.47,0.9100
26,28.40,0.9082
27,28.56,0.9113
28,28.37,0.9095
29,28.50,0.9105
30,28.36,0.9101
31,28.63,0.9100
32,28.70,0.9107
33,28.64,0.9083
34,28.63,0.9092
35,28.69,0.9106
36,28.57,0.9096
37,28.67,0.9103
38,28.47,0.9082
39,28.71,0.9105
40,28.47,0.9085
41,28.67,0.9105
42,28.64,0.9080
43,28.94,0.9126
44,29.00,0.9110
45,28.87,0.9118
46,28.97,0.9103
47,29.32,0.9140
48,28.96,0.9099
49,29.42,0.9118
50,28.67,0.9045
51,29.16,0.9085
52,29.20,0.9079
53,29.02,0.9084
54,28.95,0.9052
55,29.01,0.9069
56,28.90,0.9045
57,29.05,0.9059
58,28.73,0.9013
59,28.86,0.9032
60,28.55,0.8974
61,28.93,0.9005
62,28.76,0.8990
63,28.79,0.9035
64,28.77,0.9036
65,28.39,0.9021
66,28.31,0.9000
67,28.44,0.9007
68,28.07,0.8954
69,28.21,0.8955
70,27.77,0.8908
71,27.97,0.8924
72,27.97,0.8914
73,27.94,0.8908
74,27.89,0.8892
75,27.73,0.8883
76,27.76,0.8880
77,27.96,0.8906
78,27.85,0.8887
79,28.15,0.8897
80,27.90,0.8858
81,28.11,0.8887
82,28.07,0.8871
83,28.01,0.8855
84,27.99,0.8833
85,27.83,0.8813
86,27.76,0.8788
87,27.88,0.8804
88,27.67,0.8754
89,27.75,0.8752
90,27.49,0.8700
91,27.67,0.8719
92,27.59,0.8707
93,27.62,0.8724
94,27.55,0.8712
95,27.37,0.8707
96,27.40,0.8689
97,27.56,0.8713
98,27.19,0.8673
99,27.25,0.8687
100,26.97,0.8648
101,27.19,0.8672
102,27.20,0.8655
103,27.29,0.8677
104,27.32,0.8669
105,27.31,0.8673
106,27.26,0.8649
107,27.43,0.8672
108,27.37,0.8651
109,27.61,0.8670
110,27.37,0.8632
111,27.61,0.8656
112,27.60,0.8641
113,27.53,0.8653
114,27.51,0.8638
115,27.39,0.8641
116,27.40,0.8625
117,27.54,0.8644
118,27.36,0.8618
119,27.48,0.8629
120,27.37,0.8596
121,27.54,0.8632
122,27.45,0.8623
123,27.53,0.8642
124,27.52,0.8624
125,27.41,0.8624
126,27.42,0.8605
127,27.51,0.8627
128,27.31,0.8595
129,27.50,0.8623
130,27.36,0.8599
131,27.55,0.8621
132,27.52,0.8600
133,27.58,0.8619
134,27.58,0.8605
135,27.52,0.8613
136,27.49,0.8598
137,27.61,0.8625
138,27.51,0.8605
139,27.62,0.8626
140,27.31,0.8588
141,27.50,0.8611
142,27.46,0.8596
143,27.37,0.8614
144,27.34,0.8598
145,27.42,0.8612
146,27.46,0.8598
147,27.61,0.8622
148,27.46,0.8596
149,27.54,0.8603
150,27.40,0.8636
151,27.54,0.8653
152,27.47,0.8634
153,27.58,0.8650
154,27.57,0.8633
155,27.49,0.8635
156,27.46,0.8618
157,27.56,0.8639
158,27.29,0.8607
159,27.48,0.8631
160,27.27,0.8599
161,27.46,0.8624
162,27.43,0.8608
163,27.48,0.8634
164,27.43,0.8616
165,27.36,0.8625
166,27.38,0.8610
167,27.53,0.8633
168,27.40,0.8612
169,27.54,0.8639
170,27.27,0.8606
171,27.48,0.8634
172,27.45,0.8618
173,27.37,0.8624
174,27.38,0.8613
175,27.35,0.8623
176,27.36,0.8608
177,27.49,0.8631
178,27.28,0.8609
179,27.36,0.8621
180,27.18,0.8625
181,27.35,0.8641
182,27.29,0.8622
183,27.43,0.8648
184,27.43,0.8630
185,27.26,0.8635
186,27.29,0.8615
187,27.44,0.8644
188,27.27,0.8614
189,27.45,0.8640
190,27.18,0.8610
191,27.29,0.8633
192,27.21,0.8613
193,27.19,0.8631
194,27.16,0.8614
195,27.23,0.8633
196,27.23,0.8614
197,27.37,0.8638
198,27.20,0.8612
199,27.36,0.8643
200,27.06,0.8604
201,27.31,0.8631
202,27.30,0.8613
203,27.29,0.8624
204,27.29,0.8611
205,27.22,0.8621
206,27.28,0.8609
207,27.46,0.8631
208,27.37,0.8614
209,27.45,0.8627
210,27.33,0.8627
211,27.50,0.8644
212,27.48,0.8624
213,27.61,0.8647
214,27.56,0.8629
215,27.45,0.8639
216,27.39,0.8620
217,27.47,0.8639
218,27.17,0.8601
219,27.29,0.8620
220,27.01,0.8589
221,27.23,0.8615
222,27.20,0.8594
223,27.24,0.8608
224,27.27,0.8596
225,27.22,0.8610
226,27.17,0.8591
227,27.27,0.8612
228,27.08,0.8588
229,27.25,0.8613
230,27.05,0.8580
231,27.31,0.8612
232,27.33,0.8597
233,27.31,0.8609
234,27.27,0.8595
235,27.22,0.8606
236,27.21,0.8591
237,27.37,0.8619
238,27.21,0.8598
239,27.30,0.8608
240,27.15,0.8592
241,27.28,0.8625
242,27.18,0.8609
243,27.26,0.8626
244,27.28,0.8607
245,27.24,0.8617
246,27.21,0.8598
247,27.32,0.8621
248,27.09,0.8591
249,27.23,0.8602
250,27.13,0.8592
251,27.35,0.8613
252,27.28,0.8592
253,27.34,0.8613
254,27.27,0.8597
255,27.23,0.8608
256,27.23,0.8589
257,27.37,0.8613
258,27.23,0.8590
259,27.43,0.8613
260,27.22,0.8581
261,27.42,0.8609
262,27.38,0.8594
263,27.42,0.8618
264,27.37,0.8600
265,27.22,0.8607
266,27.17,0.8586
