Kare_No,PSNR_dB,SSIM
0,27.78,0.8923
1,27.95,0.8937
2,27.98,0.8940
3,28.06,0.8957
4,28.11,0.8950
5,28.13,0.8921
6,28.20,0.8961
7,28.45,0.8981
8,28.22,0.8958
9,28.47,0.8998
10,28.09,0.8958
11,28.20,0.8974
12,28.23,0.8981
13,28.39,0.9020
14,28.46,0.8998
15,28.36,0.9012
16,28.35,0.8998
17,28.57,0.9034
18,28.35,0.9035
19,28.61,0.9076
20,28.21,0.9048
21,28.41,0.9051
22,28.29,0.9043
23,28.39,0.9078
24,28.59,0.9095
25,28.42,0.9101
26,28.36,0.9082
27,28.52,0.9115
28,28.34,0.9097
29,28.46,0.9109
30,28.31,0.9102
31,28.57,0.9102
32,28.64,0.9110
33,28.58,0.9085
34,28.57,0.9094
35,28.61,0.9108
36,28.49,0.9099
37,28.61,0.9106
38,28.43,0.9086
39,28.66,0.9109
40,28.40,0.9088
41,28.61,0.9109
42,28.60,0.9083
43,28.87,0.9129
44,28.92,0.9112
45,28.80,0.9120
46,28.90,0.9104
47,29.25,0.9142
48,28.91,0.9101
49,29.37,0.9120
50,28.61,0.9047
51,29.10,0.9088
52,29.14,0.9081
53,28.98,0.9088
54,28.91,0.9057
55,28.96,0.9074
56,28.87,0.9051
57,29.02,0.9064
58,28.69,0.9018
59,28.81,0.9037
60,28.50,0.8979
61,28.87,0.9009
62,28.70,0.8995
63,28.72,0.9040
64,28.70,0.9040
65,28.34,0.9024
66,28.25,0.9002
67,28.40,0.9010
68,28.01,0.8957
69,28.15,0.8959
70,27.72,0.8912
71,27.91,0.8928
72,27.92,0.8918
73,27.91,0.8913
74,27.87,0.8897
75,27.68,0.8889
76,27.71,0.8884
77,27.92,0.8913
78,27.81,0.8894
79,28.13,0.8904
80,27.86,0.8862
81,28.07,0.8891
82,28.03,0.8875
83,27.97,0.8861
84,27.94,0.8838
85,27.78,0.8819
86,27.72,0.8795
87,27.83,0.8811
88,27.63,0.8761
89,27.71,0.8759
90,27.46,0.8708
91,27.64,0.8727
92,27.56,0.8715
93,27.58,0.8732
94,27.52,0.8722
95,27.35,0.8716
96,27.38,0.8698
97,27.54,0.8722
98,27.16,0.8682
99,27.20,0.8696
100,26.91,0.8656
101,27.13,0.8680
102,27.16,0.8664
103,27.26,0.8687
104,27.29,0.8679
105,27.27,0.8683
106,27.22,0.8659
107,27.39,0.8681
108,27.32,0.8659
109,27.57,0.8678
110,27.34,0.8640
111,27.58,0.8664
112,27.57,0.8649
113,27.49,0.8661
114,27.47,0.8646
115,27.35,0.8649
116,27.35,0.8631
117,27.49,0.8651
118,27.32,0.8626
119,27.45,0.8637
120,27.33,0.8605
121,27.50,0.8640
122,27.41,0.8631
123,27.50,0.8651
124,27.49,0.8633
125,27.39,0.8634
126,27.39,0.8615
127,27.48,0.8637
