Kare_No,PSNR_dB,SSIM
128,27.28,0.8605
129,27.46,0.8632
130,27.32,0.8608
131,27.53,0.8631
132,27.49,0.8610
133,27.56,0.8628
134,27.55,0.8613
135,27.49,0.8622
136,27.46,0.8606
137,27.57,0.8633
138,27.48,0.8615
139,27.59,0.8635
140,27.27,0.8597
141,27.47,0.8620
142,27.44,0.8604
143,27.35,0.8623
144,27.32,0.8606
145,27.39,0.8621
146,27.43,0.8606
147,27.58,0.8631
148,27.44,0.8604
149,27.51,0.8611
150,27.36,0.8643
151,27.50,0.8661
152,27.43,0.8641
153,27.55,0.8658
154,27.54,0.8640
155,27.46,0.8644
156,27.42,0.8626
157,27.54,0.8647
158,27.26,0.8615
159,27.44,0.8639
160,27.23,0.8608
161,27.42,0.8633
162,27.39,0.8615
163,27.44,0.8641
164,27.39,0.8625
165,27.33,0.8633
166,27.33,0.8616
167,27.50,0.8642
168,27.38,0.8622
169,27.52,0.8648
170,27.23,0.8614
171,27.44,0.8642
172,27.40,0.8625
173,27.32,0.8632
174,27.34,0.8620
175,27.31,0.8632
176,27.32,0.8617
177,27.45,0.8639
178,27.24,0.8616
179,27.33,0.8629
180,27.16,0.8633
181,27.33,0.8650
182,27.26,0.8630
183,27.40,0.8657
184,27.40,0.8638
185,27.22,0.8643
186,27.24,0.8622
187,27.40,0.8652
188,27.22,0.8622
189,27.41,0.8649
190,27.14,0.8618
191,27.26,0.8642
192,27.16,0.8621
193,27.15,0.8640
194,27.12,0.8621
195,27.21,0.8642
196,27.21,0.8623
197,27.34,0.8647
198,27.16,0.8620
199,27.34,0.8652
200,27.02,0.8612
201,27.28,0.8640
202,27.27,0.8621
203,27.25,0.8633
204,27.26,0.8620
205,27.19,0.8630
206,27.25,0.8617
207,27.43,0.8640
208,27.33,0.8621
209,27.41,0.8636
210,27.29,0.8635
211,27.47,0.8654
212,27.44,0.8632
213,27.57,0.8655
214,27.52,0.8636
215,27.40,0.8648
216,27.35,0.8629
217,27.43,0.8648
218,27.12,0.8610
219,27.25,0.8628
220,26.96,0.8596
221,27.19,0.8624
222,27.15,0.8603
223,27.21,0.8619
224,27.24,0.8605
225,27.20,0.8619
226,27.15,0.8600
227,27.26,0.8622
228,27.06,0.8597
229,27.23,0.8621
230,27.02,0.8588
231,27.29,0.8621
232,27.30,0.8603
233,27.28,0.8615
234,27.24,0.8601
235,27.19,0.8614
236,27.18,0.8600
237,27.34,0.8628
238,27.17,0.8606
239,27.26,0.8617
240,27.10,0.8601
241,27.23,0.8634
242,27.14,0.8617
243,27.21,0.8636
244,27.23,0.8616
245,27.20,0.8626
246,27.18,0.8607
247,27.29,0.8631
248,27.05,0.8602
249,27.19,0.8612
250,27.10,0.8602
251,27.31,0.8623
252,27.24,0.8601
253,27.32,0.8623
254,27.24,0.8606
255,27.20,0.8618
256,27.20,0.8598
257,27.34,0.8622
258,27.20,0.8599
259,27.40,0.8622
260,27.19,0.8589
261,27.38,0.8617
262,27.36,0.8601
263,27.39,0.8626
264,27.34,0.8608
265,27.18,0.8614
266,27.13,0.8593
267,27.25,0.8616
268,27.07,0.8595
269,27.14,0.8607
270,27.02,0.8620
271,27.26,0.8642
272,27.24,0.8628
273,27.33,0.8651
274,27.34,0.8630
275,27.25,0.8634
276,27.27,0.8614
277,27.40,0.8639
278,27.19,0.8607
279,27.33,0.8631
280,27.15,0.8602
281,27.30,0.8628
282,27.28,0.8610
283,27.31,0.8625
284,27.27,0.8608
285,27.30,0.8625
286,27.23,0.8604
287,27.38,0.8637
288,27.31,0.8621
289,27.44,0.8640
290,27.14,0.8603
291,27.37,0.8632
292,27.34,0.8617
293,27.34,0.8637
294,27.33,0.8625
295,27.33,0.8635
296,27.30,0.8617
297,27.46,0.8636
298,27.27,0.8609
299,27.37,0.8619
300,27.20,0.8629
301,27.33,0.8643
302,27.31,0.8624
303,27.46,0.8652
304,27.47,0.8633
305,27.34,0.8638
306,27.31,0.8620
307,27.39,0.8646
308,27.19,0.8617
309,27.38,0.8644
310,27.18,0.8614
311,27.35,0.8643
312,27.31,0.8625
313,27.38,0.8649
314,27.35,0.8626
315,27.29,0.8635
316,27.30,0.8616
317,27.46,0.8645
318,27.32,0.8623
319,27.48,0.8648
320,27.20,0.8612
321,27.33,0.8632
322,27.27,0.8609
323,27.23,0.8624
324,27.20,0.8610
325,27.04,0.8611
326,27.00,0.8595
327,27.19,0.8623
328,27.09,0.8607
329,27.19,0.8623
330,27.11,0.8628
331,27.31,0.8648
332,27.23,0.8629
333,27.36,0.8655
334,27.38,0.8636
335,27.29,0.8648
336,27.24,0.8627
337,27.35,0.8656
338,27.18,0.8629
339,27.31,0.8650
340,27.08,0.8614
341,27.26,0.8639
342,27.24,0.8618
343,27.25,0.8633
344,27.21,0.8616
345,27.19,0.8634
346,27.24,0.8619
347,27.39,0.8639
348,27.24,0.8614
349,27.39,0.8641
350,27.12,0.8605
351,27.33,0.8637
352,27.32,0.8623
353,27.35,0.8639
354,27.34,0.8628
355,27.22,0.8635
356,27.20,0.8618
357,27.39,0.8636
358,27.31,0.8618
359,27.41,0.8630
360,27.29,0.8601
361,27.39,0.8635
362,27.29,0.8618
363,27.33,0.8642
364,27.33,0.8623
365,27.23,0.8628
366,27.21,0.8610
367,27.33,0.8637
368,27.10,0.8605
369,27.26,0.8632
370,27.04,0.8598
371,27.22,0.8625
372,27.17,0.8603
373,27.23,0.8621
374,27.21,0.8605
375,27.10,0.8623
376,27.15,0.8607
377,27.23,0.8632
378,27.03,0.8608
379,27.27,0.8633
380,27.17,0.8603
381,27.39,0.8627
382,27.37,0.8606
383,27.35,0.8619
384,27.37,0.8603
385,27.31,0.8618
386,27.24,0.8598
387,27.37,0.8623
388,27.21,0.8601
389,27.32,0.8613
390,27.17,0.8630
391,27.36,0.8650
392,27.30,0.8636
393,27.36,0.8658
394,27.38,0.8644
395,27.33,0.8653
396,27.31,0.8636
397,27.44,0.8656
398,27.22,0.8619
399,27.43,0.8649
400,27.29,0.8625
401,27.46,0.8654
402,27.40,0.8632
403,27.35,0.8648
404,27.29,0.8626
405,27.24,0.8641
406,27.25,0.8622
407,27.35,0.8649
408,27.22,0.8624
409,27.44,0.8645
410,27.22,0.8609
411,27.45,0.8635
412,27.39,0.8615
413,27.35,0.8628
414,27.32,0.8612
415,27.26,0.8626
416,27.19,0.8613
417,27.31,0.8633
418,27.17,0.8606
419,27.28,0.8616
420,27.20,0.8622
421,27.40,0.8642
422,27.36,0.8627
423,27.49,0.8651
424,27.48,0.8633
425,27.40,0.8638
426,27.45,0.8622
427,27.58,0.8645
428,27.45,0.8617
429,27.58,0.8639
430,27.36,0.8608
431,27.52,0.8635
432,27.49,0.8617
433,27.50,0.8629
434,27.44,0.8610
435,27.42,0.8620
436,27.43,0.8600
437,27.60,0.8626
438,27.38,0.8601
439,27.56,0.8624
440,27.24,0.8593
441,27.46,0.8620
442,27.49,0.8603
443,27.52,0.8621
444,27.53,0.8610
445,27.44,0.8619
446,27.52,0.8608
447,27.72,0.8630
448,27.58,0.8609
449,27.66,0.8616
450,27.53,0.8626
451,27.70,0.8650
452,27.62,0.8633
453,27.59,0.8649
454,27.57,0.8632
455,27.44,0.8639
456,27.39,0.8621
457,27.53,0.8643
458,27.32,0.8613
459,27.40,0.8633
460,27.09,0.8601
461,27.25,0.8626
462,27.19,0.8609
463,27.24,0.8640
464,27.16,0.8622
465,27.09,0.8631
466,27.06,0.8606
467,27.13,0.8624
468,26.98,0.8600
469,27.17,0.8629
470,26.92,0.8601
471,27.12,0.8626
472,27.11,0.8604
473,27.13,0.8618
474,27.18,0.8601
475,27.13,0.8603
476,27.15,0.8586
477,27.31,0.8612
478,27.14,0.8588
479,27.25,0.8602
480,27.22,0.8586
481,27.46,0.8627
482,27.47,0.8611
483,27.42,0.8631
484,27.35,0.8612
485,27.26,0.8626
486,27.26,0.8612
487,27.51,0.8675
488,27.31,0.8652
489,27.46,0.8674
490,27.25,0.8637
491,27.48,0.8683
492,27.45,0.8669
493,27.44,0.8678
494,27.34,0.8650
495,27.31,0.8667
496,27.34,0.8646
497,27.52,0.8673
498,27.33,0.8638
499,27.45,0.8651
500,27.23,0.8635
501,27.59,0.8703
502,27.56,0.8691
503,27.61,0.8710
504,27.57,0.8678
505,27.54,0.8710
506,27.55,0.8700
507,27.78,0.8743
508,27.48,0.8692
509,27.62,0.8708
510,27.44,0.8694
511,27.64,0.8722
512,27.53,0.8686
513,27.61,0.8717
514,27.60,0.8708
515,27.45,0.8720
516,27.44,0.8694
517,27.73,0.8749
518,27.50,0.8715
519,27.58,0.8728
520,27.25,0.8684
521,27.40,0.8708
522,27.32,0.8683
523,27.33,0.8695
524,27.31,0.8675
525,27.17,0.8682
526,27.18,0.8658
527,27.52,0.8736
528,27.35,0.8712
529,27.59,0.8733
530,27.33,0.8685
531,27.55,0.8708
532,27.52,0.8684
533,27.46,0.8692
534,27.46,0.8673
535,27.38,0.8694
536,27.35,0.8677
537,27.55,0.8705
538,27.44,0.8678
539,27.56,0.8697
540,27.45,0.8717
541,27.65,0.8742
542,27.46,0.8702
543,27.48,0.8729
544,27.48,0.8714
545,27.37,0.8723
546,27.37,0.8718
