Kare_No,Islem_Suresi_ms,Anlik_FPS
317,45.65,21.91
318,45.03,22.21
319,44.80,22.32
320,44.64,22.40
321,44.73,22.36
322,44.52,22.46
323,43.91,22.78
324,45.33,22.06
325,45.08,22.18
326,45.43,22.01
327,44.85,22.30
328,44.40,22.52
329,43.70,22.88
330,44.01,22.72
331,44.39,22.53
332,45.61,21.93
333,45.35,22.05
334,44.52,22.46
335,45.47,21.99
336,43.74,22.86
337,44.14,22.66
338,43.94,22.76
339,44.85,22.30
340,44.72,22.36
341,48.30,20.71
342,44.76,22.34
343,44.03,22.71
344,44.12,22.66
345,43.76,22.85
346,44.78,22.33
347,46.10,21.69
348,45.32,22.07
349,46.83,21.36
350,44.49,22.48
351,43.17,23.16
352,44.11,22.67
353,44.09,22.68
354,45.25,22.10
355,44.75,22.35
356,44.87,22.29
357,43.81,22.83
358,43.65,22.91
359,45.49,21.98
360,47.22,21.18
361,45.06,22.19
362,44.84,22.30
363,44.58,22.43
364,44.62,22.41
365,44.56,22.44
366,45.03,22.21
367,45.05,22.20
368,45.18,22.13
369,44.86,22.29
370,45.06,22.19
371,45.33,22.06
372,45.22,22.11
373,45.55,21.95
374,44.82,22.31
375,45.91,21.78
376,44.99,22.23
377,43.73,22.87
378,43.33,23.08
379,42.86,23.33
380,44.56,22.44
381,44.25,22.60
382,44.21,22.62
383,44.19,22.63
384,43.97,22.74
385,44.25,22.60
386,43.70,22.88
387,43.65,22.91
388,43.68,22.89
389,44.14,22.65
390,44.64,22.40
391,44.36,22.54
392,45.22,22.12
393,45.97,21.75
394,41.54,24.08
395,41.78,23.93
396,41.01,24.39
397,41.51,24.09
398,41.38,24.17
399,41.25,24.24
400,41.64,24.01
401,42.67,23.44
402,41.77,23.94
403,42.67,23.44
404,42.42,23.57
405,41.69,23.98
406,41.31,24.21
407,41.79,23.93
408,41.51,24.09
409,41.83,23.91
410,42.18,23.71
411,41.89,23.87
412,41.98,23.82
413,42.68,23.43
414,42.57,23.49
415,42.60,23.47
416,43.74,22.86
417,42.40,23.59
418,42.72,23.41
419,62.63,15.97
420,54.76,18.26
421,55.84,17.91
422,54.43,18.37
423,55.47,18.03
424,62.67,15.96
