Kare_No,PSNR_dB,SSIM
0,27.86,0.8819
1,28.01,0.8836
2,28.04,0.8838
3,28.08,0.8851
4,28.14,0.8851
5,28.20,0.8833
6,28.37,0.8887
7,28.56,0.8904
8,28.37,0.8883
9,28.59,0.8923
10,28.24,0.8882
11,28.33,0.8901
12,28.40,0.8917
13,28.49,0.8959
14,28.53,0.8940
15,28.48,0.8955
16,28.52,0.8953
17,28.71,0.8989
18,28.51,0.9002
19,28.76,0.9044
20,28.43,0.9019
21,28.63,0.9028
22,28.55,0.9030
23,28.60,0.9054
24,28.76,0.9083
25,28.62,0.9075
26,28.59,0.9064
27,28.75,0.9086
28,28.58,0.9065
29,28.68,0.9074
30,28.56,0.9064
31,28.77,0.9068
32,28.85,0.9075
33,28.78,0.9055
34,28.81,0.9065
35,28.83,0.9084
36,28.73,0.9070
37,28.84,0.9082
38,28.66,0.9061
39,28.84,0.9088
40,28.65,0.9069
41,28.81,0.9090
42,28.77,0.9060
43,29.00,0.9101
44,29.06,0.9085
45,28.95,0.9087
46,29.05,0.9069
47,29.33,0.9104
48,28.98,0.9053
49,29.41,0.9080
50,28.77,0.9004
51,29.19,0.9044
52,29.25,0.9040
53,29.08,0.9038
54,29.05,0.9009
55,29.08,0.9020
56,28.98,0.8996
57,29.11,0.9010
58,28.84,0.8959
59,28.92,0.8976
60,28.64,0.8914
61,28.97,0.8949
62,28.83,0.8935
63,28.86,0.8977
64,28.83,0.8980
65,28.50,0.8964
66,28.44,0.8942
67,28.58,0.8950
68,28.24,0.8892
69,28.34,0.8894
70,27.94,0.8840
71,28.13,0.8855
72,28.13,0.8845
73,28.10,0.8833
74,28.05,0.8816
75,27.90,0.8801
76,27.91,0.8798
77,28.07,0.8825
78,28.02,0.8807
79,28.28,0.8820
80,28.04,0.8778
81,28.27,0.8806
82,28.26,0.8794
83,28.16,0.8769
84,28.13,0.8745
85,28.00,0.8718
86,27.93,0.8694
87,28.03,0.8707
88,27.84,0.8658
89,27.90,0.8655
90,27.65,0.8598
91,27.78,0.8615
92,27.71,0.8603
93,27.70,0.8616
94,27.64,0.8605
95,27.44,0.8592
96,27.44,0.8576
97,27.57,0.8599
98,27.28,0.8562
99,27.33,0.8574
100,27.08,0.8534
101,27.26,0.8556
102,27.27,0.8540
103,27.35,0.8560
104,27.38,0.8555
105,27.35,0.8558
106,27.31,0.8538
107,27.46,0.8559
108,27.40,0.8538
109,27.59,0.8553
110,27.42,0.8518
111,27.62,0.8540
112,27.61,0.8529
113,27.57,0.8539
114,27.55,0.8525
115,27.43,0.8524
116,27.43,0.8510
117,27.56,0.8529
118,27.39,0.8504
119,27.49,0.8514
120,27.40,0.8474
121,27.56,0.8514
122,27.49,0.8505
123,27.55,0.8523
124,27.55,0.8507
125,27.46,0.8508
126,27.47,0.8492
127,27.54,0.8511
128,27.37,0.8481
129,27.53,0.8508
130,27.43,0.8486
131,27.60,0.8505
132,27.57,0.8489
133,27.63,0.8507
134,27.61,0.8494
135,27.53,0.8498
136,27.51,0.8485
137,27.62,0.8510
138,27.55,0.8494
139,27.64,0.8512
140,27.39,0.8477
141,27.55,0.8499
142,27.51,0.8486
143,27.46,0.8500
144,27.43,0.8487
145,27.47,0.8495
146,27.50,0.8482
147,27.62,0.8505
148,27.50,0.8481
149,27.57,0.8488
150,27.45,0.8516
151,27.58,0.8536
152,27.52,0.8519
153,27.60,0.8533
154,27.58,0.8516
155,27.52,0.8518
156,27.50,0.8504
157,27.59,0.8524
