Kare_No,PSNR_dB,SSIM
158,27.37,0.8494
159,27.53,0.8516
160,27.38,0.8486
161,27.54,0.8508
162,27.51,0.8494
163,27.54,0.8517
164,27.50,0.8503
165,27.44,0.8509
166,27.44,0.8494
167,27.57,0.8518
168,27.49,0.8501
169,27.60,0.8525
170,27.37,0.8493
171,27.56,0.8520
172,27.54,0.8506
173,27.47,0.8513
174,27.47,0.8502
175,27.44,0.8507
176,27.44,0.8495
177,27.54,0.8517
178,27.35,0.8494
179,27.43,0.8506
180,27.29,0.8507
181,27.42,0.8525
182,27.37,0.8507
183,27.46,0.8531
184,27.45,0.8514
185,27.33,0.8518
186,27.38,0.8504
187,27.51,0.8531
188,27.34,0.8502
189,27.49,0.8524
190,27.27,0.8496
191,27.37,0.8518
192,27.32,0.8502
193,27.32,0.8518
194,27.29,0.8503
195,27.34,0.8519
196,27.35,0.8505
197,27.47,0.8526
198,27.33,0.8503
199,27.46,0.8531
200,27.18,0.8494
201,27.37,0.8518
202,27.36,0.8504
203,27.36,0.8512
204,27.37,0.8501
205,27.32,0.8509
206,27.35,0.8496
207,27.51,0.8519
208,27.44,0.8502
209,27.51,0.8516
210,27.43,0.8513
211,27.56,0.8531
212,27.55,0.8513
213,27.63,0.8534
214,27.58,0.8517
215,27.52,0.8526
216,27.48,0.8510
217,27.55,0.8527
218,27.31,0.8492
219,27.41,0.8510
220,27.20,0.8482
221,27.35,0.8505
222,27.32,0.8486
223,27.38,0.8499
224,27.39,0.8490
225,27.33,0.8497
226,27.26,0.8479
227,27.34,0.8499
228,27.18,0.8478
229,27.33,0.8499
230,27.16,0.8468
231,27.41,0.8498
232,27.44,0.8486
233,27.43,0.8498
234,27.38,0.8486
235,27.32,0.8494
236,27.31,0.8480
237,27.46,0.8507
238,27.34,0.8488
239,27.40,0.8498
240,27.25,0.8470
241,27.37,0.8510
242,27.30,0.8495
243,27.38,0.8511
244,27.40,0.8495
245,27.37,0.8502
246,27.33,0.8487
247,27.41,0.8508
248,27.22,0.8479
249,27.32,0.8488
250,27.23,0.8476
251,27.41,0.8496
252,27.36,0.8478
253,27.40,0.8496
254,27.35,0.8484
255,27.31,0.8491
256,27.32,0.8477
257,27.43,0.8497
258,27.32,0.8476
259,27.50,0.8499
260,27.31,0.8469
261,27.46,0.8493
262,27.43,0.8481
263,27.45,0.8500
264,27.41,0.8485
265,27.32,0.8491
266,27.26,0.8472
267,27.37,0.8494
268,27.23,0.8475
269,27.30,0.8485
270,27.20,0.8496
271,27.40,0.8517
272,27.39,0.8505
273,27.46,0.8526
274,27.46,0.8509
275,27.39,0.8509
276,27.40,0.8495
277,27.51,0.8516
278,27.35,0.8485
279,27.48,0.8507
280,27.33,0.8482
281,27.47,0.8507
282,27.44,0.8493
283,27.45,0.8505
284,27.43,0.8493
285,27.43,0.8503
286,27.39,0.8488
287,27.50,0.8516
288,27.44,0.8499
289,27.55,0.8516
290,27.28,0.8481
291,27.46,0.8508
292,27.46,0.8497
293,27.47,0.8515
294,27.45,0.8506
295,27.42,0.8510
296,27.41,0.8493
297,27.54,0.8514
298,27.40,0.8487
299,27.48,0.8496
300,27.33,0.8504
301,27.44,0.8520
302,27.42,0.8504
303,27.53,0.8527
304,27.54,0.8511
305,27.42,0.8513
306,27.42,0.8499
307,27.52,0.8524
308,27.36,0.8497
309,27.51,0.8519
310,27.31,0.8494
311,27.45,0.8520
312,27.45,0.8506
313,27.52,0.8528
314,27.49,0.8509
315,27.44,0.8513
316,27.44,0.8498
317,27.57,0.8524
318,27.46,0.8503
319,27.59,0.8527
320,27.37,0.8494
321,27.47,0.8515
322,27.42,0.8496
323,27.41,0.8505
324,27.37,0.8492
325,27.23,0.8489
326,27.20,0.8476
327,27.34,0.8502
328,27.28,0.8488
329,27.37,0.8502
330,27.30,0.8505
331,27.47,0.8527
332,27.41,0.8511
333,27.49,0.8533
334,27.50,0.8517
335,27.41,0.8524
336,27.38,0.8507
337,27.49,0.8534
338,27.36,0.8509
339,27.48,0.8529
340,27.30,0.8495
341,27.46,0.8517
342,27.44,0.8500
343,27.43,0.8513
344,27.38,0.8498
345,27.34,0.8511
346,27.37,0.8500
347,27.51,0.8518
348,27.41,0.8497
349,27.52,0.8520
350,27.28,0.8486
351,27.45,0.8515
352,27.43,0.8504
353,27.45,0.8517
354,27.45,0.8507
355,27.35,0.8511
356,27.37,0.8498
357,27.50,0.8513
358,27.42,0.8495
359,27.53,0.8508
360,27.39,0.8470
361,27.50,0.8509
362,27.41,0.8495
363,27.47,0.8519
364,27.46,0.8503
365,27.37,0.8503
366,27.36,0.8488
367,27.48,0.8513
368,27.27,0.8485
369,27.41,0.8509
370,27.21,0.8476
371,27.37,0.8501
372,27.31,0.8484
373,27.34,0.8499
374,27.30,0.8486
375,27.23,0.8500
376,27.25,0.8486
377,27.34,0.8508
378,27.22,0.8488
379,27.38,0.8511
380,27.27,0.8481
381,27.44,0.8502
382,27.42,0.8486
383,27.40,0.8495
384,27.42,0.8482
385,27.39,0.8492
386,27.35,0.8476
387,27.48,0.8500
388,27.35,0.8482
389,27.44,0.8493
390,27.32,0.8507
391,27.48,0.8528
392,27.43,0.8516
393,27.47,0.8536
394,27.47,0.8523
395,27.42,0.8526
396,27.42,0.8513
397,27.53,0.8532
398,27.36,0.8499
399,27.54,0.8524
400,27.41,0.8500
401,27.56,0.8527
402,27.52,0.8511
403,27.50,0.8524
404,27.44,0.8506
405,27.37,0.8517
406,27.37,0.8502
407,27.46,0.8527
408,27.37,0.8507
409,27.55,0.8525
410,27.34,0.8490
411,27.50,0.8511
412,27.46,0.8494
413,27.43,0.8506
414,27.40,0.8492
415,27.36,0.8506
416,27.32,0.8492
417,27.43,0.8512
418,27.31,0.8486
419,27.40,0.8497
420,27.35,0.8500
421,27.51,0.8519
422,27.46,0.8505
423,27.56,0.8527
424,27.57,0.8512
425,27.47,0.8514
426,27.51,0.8503
427,27.64,0.8526
428,27.53,0.8500
429,27.66,0.8522
430,27.48,0.8494
431,27.58,0.8516
432,27.55,0.8500
433,27.55,0.8508
434,27.51,0.8491
435,27.48,0.8498
436,27.50,0.8482
437,27.63,0.8504
438,27.46,0.8483
439,27.60,0.8504
440,27.35,0.8474
441,27.54,0.8499
442,27.58,0.8487
443,27.59,0.8501
444,27.59,0.8492
445,27.50,0.8497
446,27.57,0.8487
447,27.74,0.8511
448,27.63,0.8489
449,27.70,0.8498
450,27.57,0.8501
451,27.71,0.8524
452,27.65,0.8507
453,27.64,0.8523
454,27.63,0.8511
455,27.51,0.8514
456,27.48,0.8500
457,27.61,0.8522
458,27.44,0.8495
459,27.51,0.8514
460,27.25,0.8485
461,27.37,0.8506
462,27.34,0.8493
463,27.38,0.8520
464,27.31,0.8503
465,27.23,0.8507
466,27.21,0.8487
467,27.30,0.8504
468,27.18,0.8486
469,27.32,0.8510
470,27.10,0.8482
471,27.26,0.8505
472,27.25,0.8486
473,27.28,0.8498
474,27.32,0.8483
475,27.29,0.8482
476,27.30,0.8468
477,27.42,0.8492
478,27.29,0.8472
479,27.38,0.8483
480,27.34,0.8458
481,27.55,0.8504
482,27.54,0.8488
483,27.49,0.8505
484,27.43,0.8489
485,27.33,0.8496
486,27.34,0.8485
487,27.57,0.8545
488,27.42,0.8526
489,27.56,0.8548
490,27.39,0.8514
491,27.57,0.8555
492,27.56,0.8545
493,27.55,0.8550
494,27.46,0.8523
495,27.42,0.8537
496,27.47,0.8522
497,27.63,0.8546
498,27.46,0.8516
499,27.56,0.8527
500,27.33,0.8508
501,27.61,0.8567
502,27.60,0.8561
503,27.66,0.8576
504,27.64,0.8550
505,27.62,0.8576
506,27.60,0.8568
507,27.79,0.8608
508,27.59,0.8566
509,27.71,0.8581
510,27.56,0.8566
511,27.69,0.8592
512,27.60,0.8561
513,27.67,0.8587
514,27.64,0.8578
515,27.56,0.8590
516,27.56,0.8570
517,27.79,0.8621
518,27.57,0.8589
519,27.64,0.8602
520,27.36,0.8561
521,27.49,0.8582
522,27.44,0.8562
523,27.44,0.8569
524,27.40,0.8551
525,27.29,0.8553
526,27.32,0.8536
527,27.62,0.8609
528,27.46,0.8584
529,27.62,0.8602
530,27.40,0.8558
531,27.58,0.8580
532,27.56,0.8562
533,27.51,0.8565
534,27.51,0.8549
535,27.46,0.8565
536,27.44,0.8550
537,27.60,0.8575
538,27.53,0.8553
539,27.63,0.8570
540,27.53,0.8584
541,27.69,0.8608
542,27.55,0.8575
543,27.54,0.8600
544,27.54,0.8587
545,27.45,0.8592
546,27.44,0.8589
