Kare_No,Islem_Suresi_ms,Anlik_FPS
0,42.07,23.77
1,45.15,22.15
2,43.93,22.76
3,40.39,24.76
4,38.37,26.06
5,39.14,25.55
6,38.80,25.77
7,38.36,26.07
8,38.72,25.83
9,38.90,25.70
10,38.02,26.30
11,39.73,25.17
12,39.00,25.64
13,39.53,25.30
14,38.77,25.79
15,39.06,25.60
16,39.66,25.22
17,35.41,28.24
18,38.66,25.87
19,39.00,25.64
20,39.18,25.53
21,38.82,25.76
22,38.65,25.88
23,39.28,25.46
24,38.77,25.79
25,39.18,25.52
26,39.55,25.28
27,38.89,25.71
28,38.83,25.75
29,38.84,25.75
30,38.76,25.80
31,41.01,24.38
32,40.79,24.52
33,40.26,24.84
34,39.86,25.09
35,38.80,25.77
36,40.06,24.96
37,39.68,25.20
38,38.85,25.74
39,38.73,25.82
40,39.25,25.48
41,39.06,25.60
42,39.90,25.06
43,40.35,24.78
44,39.04,25.62
45,38.67,25.86
46,38.90,25.71
47,39.10,25.57
48,38.83,25.75
49,39.29,25.45
50,39.16,25.54
51,38.99,25.65
52,39.34,25.42
53,39.25,25.47
54,38.93,25.69
55,39.30,25.44
56,38.76,25.80
57,38.88,25.72
58,39.54,25.29
59,38.99,25.65
60,38.50,25.97
61,39.65,25.22
62,38.89,25.71
63,39.35,25.41
64,39.10,25.57
65,39.24,25.49
66,39.10,25.58
67,39.76,25.15
68,38.93,25.69
69,38.64,25.88
70,39.24,25.49
71,38.75,25.80
72,39.72,25.18
73,40.29,24.82
74,40.71,24.56
75,38.78,25.79
76,38.87,25.73
77,39.23,25.49
78,38.66,25.87
79,39.23,25.49
80,39.59,25.26
81,38.74,25.81
82,39.51,25.31
83,39.24,25.49
84,39.03,25.62
85,39.21,25.51
86,40.03,24.98
87,38.94,25.68
88,38.76,25.80
89,39.15,25.54
90,38.55,25.94
91,38.93,25.69
92,39.32,25.43
93,38.90,25.71
94,40.29,24.82
95,40.90,24.45
96,39.53,25.30
97,38.77,25.79
98,38.99,25.65
99,39.23,25.49
100,38.88,25.72
101,39.67,25.21
102,39.48,25.33
103,39.28,25.46
104,39.01,25.64
105,39.24,25.48
106,39.08,25.59
107,39.14,25.55
108,39.47,25.34
109,38.99,25.65
110,36.62,27.30
111,38.19,26.19
112,38.90,25.71
113,39.16,25.54
114,38.87,25.73
115,39.07,25.59
116,40.62,24.62
117,39.24,25.49
118,39.15,25.55
119,39.40,25.38
120,39.14,25.55
121,38.45,26.01
122,39.08,25.59
123,39.08,25.59
124,39.68,25.20
125,39.88,25.07
126,39.12,25.56
127,38.63,25.89
128,39.39,25.39
129,38.45,26.01
130,39.07,25.59
131,39.32,25.43
132,38.68,25.86
133,39.23,25.49
134,39.82,25.11
135,39.21,25.51
136,39.16,25.54
137,39.40,25.38
138,38.92,25.69
139,38.44,26.02
140,39.13,25.56
141,38.89,25.71
142,39.72,25.18
143,39.70,25.19
144,39.32,25.43
145,38.40,26.04
146,39.96,25.02
147,38.78,25.79
148,38.59,25.92
149,39.16,25.54
150,38.94,25.68
151,39.15,25.54
152,40.54,24.67
153,39.59,25.26
154,39.71,25.18
155,47.29,21.14
156,41.02,24.38
157,39.13,25.56
158,38.79,25.78
159,38.57,25.93
160,38.47,25.99
161,38.40,26.04
162,38.95,25.67
163,38.35,26.07
164,39.11,25.57
165,38.42,26.03
166,38.44,26.02
167,39.92,25.05
168,38.90,25.71
169,38.95,25.67
170,39.22,25.50
171,38.93,25.68
172,39.44,25.36
173,39.78,25.14
174,38.71,25.83
175,38.72,25.82
176,39.11,25.57
177,38.69,25.84
178,40.75,24.54
179,40.85,24.48
180,39.60,25.25
181,39.20,25.51
182,39.58,25.27
183,39.87,25.08
184,39.35,25.41
185,38.48,25.99
186,40.25,24.84
187,39.51,25.31
188,39.12,25.56
189,40.57,24.65
190,41.43,24.14
191,40.22,24.86
192,39.33,25.42
193,38.61,25.90
194,39.88,25.08
195,39.48,25.33
196,39.16,25.54
197,40.01,25.00
198,41.52,24.08
199,39.51,25.31
200,38.81,25.77
201,38.66,25.87
202,39.63,25.24
203,40.57,24.65
204,35.77,27.96
205,40.32,24.80
206,39.65,25.22
207,43.29,23.10
208,40.68,24.58
209,41.52,24.09
210,44.43,22.51
211,41.50,24.10
212,39.42,25.37
213,39.32,25.43
214,39.66,25.22
215,39.23,25.49
216,38.89,25.71
217,39.52,25.31
218,39.56,25.28
219,38.66,25.87
220,39.29,25.45
221,38.97,25.66
222,38.86,25.73
223,40.10,24.94
224,39.05,25.61
225,38.78,25.79
226,39.15,25.54
227,38.99,25.65
228,39.04,25.62
229,39.70,25.19
230,48.21,20.74
231,42.26,23.66
232,40.06,24.96
233,38.77,25.79
234,38.21,26.17
235,38.46,26.00
236,38.87,25.73
237,39.11,25.57
238,39.02,25.63
239,38.78,25.78
240,40.67,24.59
241,40.33,24.79
242,39.65,25.22
243,38.39,26.05
244,39.06,25.60
245,39.16,25.54
246,40.01,24.99
247,42.01,23.80
248,40.30,24.81
249,38.52,25.96
250,38.63,25.89
251,39.12,25.57
252,38.74,25.81
253,38.45,26.01
254,39.19,25.51
255,38.97,25.66
256,39.71,25.18
257,39.35,25.41
258,38.97,25.66
259,39.20,25.51
260,39.44,25.36
261,39.07,25.59
262,39.45,25.35
263,39.67,25.21
264,39.09,25.58
265,39.77,25.14
266,42.33,23.62
267,43.84,22.81
268,41.16,24.30
269,41.05,24.36
270,48.48,20.63
271,42.18,23.71
272,40.22,24.87
273,42.27,23.66
274,42.56,23.50
275,46.15,21.67
276,40.52,24.68
277,38.68,25.85
278,39.17,25.53
279,39.87,25.08
280,39.16,25.54
281,39.25,25.48
282,40.51,24.68
283,40.83,24.49
284,42.17,23.72
285,40.50,24.69
286,45.49,21.98
287,42.19,23.70
288,50.17,19.93
289,48.39,20.67
290,47.06,21.25
291,41.43,24.14
292,39.97,25.02
293,38.72,25.83
294,40.63,24.61
295,37.04,27.00
296,39.37,25.40
297,39.71,25.18
298,38.82,25.76
299,39.29,25.45
300,40.66,24.59
301,39.79,25.13
302,38.52,25.96
303,38.64,25.88
304,39.27,25.46
305,38.77,25.79
306,39.66,25.22
307,39.69,25.20
308,39.26,25.47
309,38.75,25.81
310,39.04,25.61
311,38.98,25.66
312,40.44,24.73
313,40.44,24.73
314,39.26,25.47
315,38.93,25.69
316,40.69,24.57
317,40.09,24.95
318,38.89,25.71
319,38.81,25.77
320,39.11,25.57
321,38.84,25.74
322,39.03,25.62
323,39.05,25.61
324,38.61,25.90
325,39.59,25.26
326,40.05,24.97
327,39.35,25.41
328,39.18,25.52
329,39.37,25.40
330,39.08,25.59
331,38.93,25.69
332,39.22,25.50
333,39.26,25.47
334,40.54,24.67
335,49.52,20.20
336,49.27,20.30
337,49.40,20.24
338,48.29,20.71
339,41.31,24.21
340,39.21,25.51
341,38.62,25.90
342,40.09,24.94
343,39.23,25.49
344,38.46,26.00
345,38.21,26.17
346,38.94,25.68
347,38.98,25.65
348,39.11,25.57
349,39.14,25.55
350,38.73,25.82
351,39.25,25.48
352,38.97,25.66
353,38.43,26.02
354,39.18,25.53
355,39.72,25.17
356,40.31,24.81
357,50.02,19.99
358,49.35,20.26
359,49.21,20.32
360,42.28,23.65
361,41.19,24.28
362,40.95,24.42
363,40.15,24.91
364,38.92,25.69
365,39.96,25.03
366,49.89,20.04
367,48.73,20.52
368,41.91,23.86
369,40.50,24.69
370,39.47,25.33
371,38.89,25.72
372,38.59,25.91
373,39.37,25.40
374,39.12,25.56
375,40.25,24.85
376,40.25,24.84
377,39.04,25.62
378,38.89,25.71
