Kare_No,Islem_Suresi_ms,Anlik_FPS
379,40.59,24.64
380,40.41,24.75
381,39.45,25.35
382,39.37,25.40
383,40.71,24.56
384,40.09,24.95
385,39.20,25.51
386,39.15,25.54
387,35.86,27.89
388,39.63,25.23
389,43.11,23.20
390,42.41,23.58
391,41.11,24.32
392,40.91,24.45
393,44.15,22.65
394,40.46,24.72
395,39.45,25.35
396,39.86,25.09
397,38.89,25.71
398,38.74,25.81
399,39.24,25.48
400,39.03,25.62
401,38.80,25.77
402,39.15,25.54
403,39.04,25.62
404,39.27,25.46
405,39.10,25.57
406,39.08,25.59
407,40.91,24.44
408,41.92,23.86
409,45.90,21.79
410,40.81,24.50
411,39.62,25.24
412,44.96,22.24
413,48.03,20.82
414,44.06,22.70
415,40.14,24.91
416,38.77,25.79
417,38.70,25.84
418,38.41,26.04
419,38.89,25.72
420,39.16,25.54
421,39.28,25.46
422,39.49,25.32
423,40.55,24.66
424,39.45,25.35
425,38.76,25.80
426,40.10,24.94
427,39.25,25.48
428,39.05,25.61
429,39.72,25.17
430,39.11,25.57
431,39.15,25.54
432,40.01,24.99
433,38.02,26.30
434,36.22,27.61
435,37.12,26.94
436,37.66,26.56
437,39.42,25.37
438,39.33,25.42
439,39.12,25.56
440,39.48,25.33
441,38.79,25.78
442,42.03,23.79
443,46.99,21.28
444,39.88,25.08
445,38.25,26.14
446,39.30,25.45
447,38.86,25.73
448,38.66,25.87
449,38.73,25.82
450,38.23,26.15
451,38.93,25.69
452,39.14,25.55
453,38.66,25.87
454,39.32,25.43
455,38.83,25.75
456,38.20,26.18
457,38.84,25.75
458,38.97,25.66
459,39.33,25.43
460,39.13,25.55
461,38.84,25.75
462,40.54,24.67
463,40.28,24.83
464,39.07,25.60
465,38.58,25.92
466,38.84,25.75
467,38.48,25.99
468,38.36,26.07
469,39.79,25.14
470,39.15,25.54
471,40.34,24.79
472,40.69,24.57
473,39.30,25.44
474,38.57,25.93
475,40.43,24.73
476,38.87,25.73
477,38.89,25.71
478,39.63,25.23
479,39.39,25.39
480,35.12,28.47
481,39.07,25.60
482,38.98,25.66
483,39.23,25.49
484,38.63,25.89
485,38.39,26.05
486,38.76,25.80
487,38.95,25.68
488,40.44,24.73
489,39.96,25.03
490,38.99,25.65
491,38.63,25.89
492,39.04,25.61
493,39.08,25.59
494,40.11,24.93
495,41.54,24.07
496,39.60,25.26
497,38.95,25.67
498,38.81,25.77
499,39.51,25.31
500,39.50,25.32
501,39.30,25.44
502,39.66,25.21
503,39.20,25.51
504,39.07,25.60
505,39.78,25.14
506,39.55,25.29
507,39.21,25.50
508,40.88,24.46
509,40.65,24.60
510,39.51,25.31
511,39.35,25.41
512,39.30,25.45
513,39.52,25.30
514,39.68,25.20
515,39.07,25.59
516,39.69,25.19
517,39.36,25.41
518,38.67,25.86
519,40.85,24.48
520,40.44,24.73
521,39.25,25.48
522,38.61,25.90
523,40.05,24.97
524,40.97,24.41
525,39.42,25.37
526,38.98,25.65
527,41.11,24.33
528,39.99,25.01
529,41.23,24.25
530,39.31,25.44
531,40.14,24.91
532,49.31,20.28
533,47.82,20.91
534,40.70,24.57
535,38.87,25.73
536,39.25,25.48
537,38.83,25.75
538,38.97,25.66
539,39.06,25.60
540,38.52,25.96
541,38.64,25.88
542,39.93,25.04
543,40.17,24.89
544,39.51,25.31
545,38.94,25.68
546,39.10,25.58
---,---,---
ORTALAMA_FPS,,25.17
