Kare_No,Islem_Suresi_ms,Anlik_FPS
397,81.27,12.31
398,81.10,12.33
399,79.87,12.52
400,90.91,11.00
401,91.24,10.96
402,79.79,12.53
403,79.83,12.53
404,79.61,12.56
405,88.92,11.25
406,80.94,12.35
407,79.62,12.56
408,81.47,12.27
409,80.99,12.35
410,80.39,12.44
411,81.06,12.34
412,80.14,12.48
413,80.48,12.43
414,81.05,12.34
415,80.26,12.46
416,90.39,11.06
417,88.30,11.33
418,80.56,12.41
419,89.80,11.14
420,90.59,11.04
421,90.95,11.00
422,79.76,12.54
423,80.64,12.40
424,80.85,12.37
425,87.76,11.39
426,79.24,12.62
427,80.54,12.42
428,81.42,12.28
429,81.02,12.34
430,80.43,12.43
431,81.09,12.33
432,89.67,11.15
433,80.66,12.40
434,89.71,11.15
435,80.13,12.48
436,80.39,12.44
437,80.74,12.39
438,88.53,11.29
439,81.26,12.31
440,81.62,12.25
441,80.97,12.35
442,91.13,10.97
443,80.53,12.42
444,80.96,12.35
445,80.85,12.37
446,80.21,12.47
447,92.53,10.81
448,81.48,12.27
449,91.49,10.93
450,80.60,12.41
451,89.54,11.17
452,78.33,12.77
453,80.04,12.49
454,79.80,12.53
455,80.17,12.47
456,78.64,12.72
457,81.60,12.25
458,79.39,12.60
459,79.56,12.57
460,80.51,12.42
461,80.09,12.49
462,80.19,12.47
463,81.25,12.31
464,81.21,12.31
465,80.68,12.39
466,81.98,12.20
467,80.72,12.39
468,80.72,12.39
469,79.89,12.52
470,79.98,12.50
471,81.02,12.34
472,80.52,12.42
473,90.02,11.11
474,80.43,12.43
475,80.31,12.45
476,84.31,11.86
477,74.97,13.34
478,79.14,12.64
479,79.66,12.55
480,80.02,12.50
481,79.19,12.63
482,89.75,11.14
483,90.58,11.04
484,80.39,12.44
485,80.48,12.42
486,80.37,12.44
487,80.60,12.41
488,91.20,10.97
489,83.24,12.01
490,92.79,10.78
491,81.92,12.21
492,90.35,11.07
493,80.91,12.36
494,90.77,11.02
495,80.52,12.42
496,80.81,12.37
497,80.72,12.39
498,92.32,10.83
499,82.31,12.15
500,89.89,11.12
501,80.59,12.41
502,77.69,12.87
503,80.14,12.48
504,79.74,12.54
505,79.32,12.61
506,77.73,12.87
507,82.00,12.20
508,79.41,12.59
509,80.11,12.48
510,80.13,12.48
511,79.56,12.57
512,79.81,12.53
513,80.63,12.40
514,80.25,12.46
515,81.12,12.33
516,80.52,12.42
517,80.41,12.44
518,79.92,12.51
519,79.79,12.53
520,80.60,12.41
521,79.72,12.54
522,80.64,12.40
523,79.77,12.54
524,80.01,12.50
525,80.60,12.41
526,82.87,12.07
527,79.88,12.52
528,91.56,10.92
529,82.85,12.07
530,79.76,12.54
531,79.89,12.52
532,80.83,12.37
533,90.24,11.08
534,90.78,11.02
535,90.78,11.02
536,79.85,12.52
537,81.41,12.28
538,80.95,12.35
539,80.09,12.49
540,91.05,10.98
541,91.14,10.97
542,82.05,12.19
543,92.98,10.75
544,81.28,12.30
545,80.05,12.49
546,81.00,12.35
---,---,---
ORTALAMA_FPS,,12.09
