Kare_No,Islem_Suresi_ms,Anlik_FPS
0,99.16,10.08
1,84.41,11.85
2,81.29,12.30
3,80.68,12.40
4,81.05,12.34
5,81.49,12.27
6,79.92,12.51
7,81.13,12.33
8,81.68,12.24
9,82.18,12.17
10,77.49,12.91
11,80.67,12.40
12,80.44,12.43
13,74.05,13.50
14,80.04,12.49
15,79.93,12.51
16,80.61,12.41
17,79.94,12.51
18,92.53,10.81
19,88.79,11.26
20,90.97,10.99
21,81.44,12.28
22,91.71,10.90
23,80.24,12.46
24,80.60,12.41
25,80.64,12.40
26,91.04,10.98
27,80.27,12.46
28,91.22,10.96
29,80.83,12.37
30,81.87,12.22
31,81.44,12.28
32,80.76,12.38
33,90.38,11.06
34,90.43,11.06
35,80.39,12.44
36,81.96,12.20
37,81.58,12.26
38,80.89,12.36
39,81.22,12.31
40,91.78,10.90
41,90.00,11.11
42,80.88,12.36
43,90.63,11.03
44,73.22,13.66
45,80.77,12.38
46,82.31,12.15
47,81.02,12.34
48,82.18,12.17
49,92.95,10.76
50,82.43,12.13
51,89.12,11.22
52,79.68,12.55
53,80.59,12.41
54,81.79,12.23
55,80.57,12.41
56,90.59,11.04
57,80.22,12.47
58,80.91,12.36
59,80.02,12.50
60,80.54,12.42
61,76.72,13.04
62,78.05,12.81
63,82.14,12.17
64,81.13,12.33
65,81.16,12.32
66,81.12,12.33
67,80.53,12.42
68,80.28,12.46
69,80.54,12.42
70,81.13,12.33
71,80.03,12.50
72,80.30,12.45
73,90.77,11.02
74,80.34,12.45
75,82.25,12.16
76,84.94,11.77
77,79.72,12.54
78,79.77,12.54
79,80.10,12.48
80,79.21,12.62
81,81.91,12.21
82,88.55,11.29
83,90.02,11.11
84,90.68,11.03
85,81.49,12.27
86,91.46,10.93
87,80.76,12.38
88,80.26,12.46
89,81.93,12.21
90,89.14,11.22
91,80.29,12.46
92,88.46,11.30
93,80.18,12.47
94,80.49,12.42
95,80.84,12.37
96,82.09,12.18
97,81.34,12.29
98,80.90,12.36
99,90.21,11.09
100,81.16,12.32
101,91.41,10.94
102,79.77,12.54
103,80.00,12.50
104,80.24,12.46
105,91.06,10.98
106,78.65,12.71
107,79.77,12.54
108,80.46,12.43
109,80.43,12.43
110,80.15,12.48
111,80.82,12.37
112,80.63,12.40
113,81.84,12.22
114,77.40,12.92
115,79.74,12.54
116,79.80,12.53
117,90.82,11.01
118,90.53,11.05
119,80.67,12.40
120,80.84,12.37
121,80.24,12.46
122,91.78,10.90
123,81.06,12.34
124,92.88,10.77
125,82.92,12.06
126,92.08,10.86
127,93.26,10.72
128,87.72,11.40
129,80.74,12.38
130,90.36,11.07
131,92.17,10.85
132,80.89,12.36
133,92.13,10.85
134,81.32,12.30
135,92.66,10.79
136,81.28,12.30
137,92.80,10.78
138,82.29,12.15
139,89.40,11.19
140,81.31,12.30
141,91.19,10.97
142,93.58,10.69
143,89.76,11.14
144,89.15,11.22
145,93.08,10.74
146,81.63,12.25
147,89.90,11.12
148,80.81,12.38
149,89.83,11.13
150,79.85,12.52
151,81.40,12.28
152,78.44,12.75
153,80.54,12.42
154,81.89,12.21
155,91.40,10.94
156,83.44,11.98
157,79.81,12.53
158,80.26,12.46
159,80.02,12.50
160,80.22,12.47
161,80.50,12.42
162,80.54,12.42
163,80.33,12.45
164,80.94,12.36
165,77.78,12.86
166,80.23,12.46
167,80.49,12.42
168,81.59,12.26
169,81.26,12.31
170,80.85,12.37
171,91.08,10.98
172,80.82,12.37
173,89.38,11.19
174,81.25,12.31
175,80.60,12.41
176,84.37,11.85
177,79.80,12.53
178,90.01,11.11
179,91.03,10.99
180,81.43,12.28
181,82.01,12.19
182,82.22,12.16
183,80.72,12.39
184,79.84,12.53
185,90.01,11.11
186,91.53,10.93
187,90.57,11.04
188,82.12,12.18
189,80.09,12.49
190,82.75,12.09
191,80.97,12.35
192,80.01,12.50
193,90.07,11.10
194,92.98,10.75
195,80.64,12.40
196,91.07,10.98
197,80.41,12.44
198,80.35,12.45
199,81.23,12.31
200,89.65,11.15
201,81.76,12.23
202,79.69,12.55
203,82.14,12.17
204,80.40,12.44
205,88.76,11.27
206,91.48,10.93
207,80.91,12.36
208,80.58,12.41
209,80.58,12.41
210,81.07,12.34
211,80.74,12.39
212,82.29,12.15
213,80.60,12.41
214,80.05,12.49
215,79.81,12.53
216,74.99,13.34
217,81.18,12.32
218,80.03,12.50
219,80.27,12.46
220,80.92,12.36
221,81.22,12.31
222,81.14,12.33
223,82.54,12.12
224,79.90,12.52
225,91.28,10.96
226,92.14,10.85
227,80.15,12.48
228,88.22,11.34
229,81.41,12.28
230,85.93,11.64
231,89.73,11.14
232,81.23,12.31
233,80.49,12.42
234,90.62,11.04
235,80.89,12.36
236,80.52,12.42
237,80.78,12.38
238,80.81,12.38
239,91.83,10.89
240,80.96,12.35
241,90.36,11.07
242,80.84,12.37
243,80.09,12.49
244,80.85,12.37
245,89.29,11.20
246,80.71,12.39
247,80.29,12.46
248,79.72,12.54
249,79.67,12.55
250,80.98,12.35
251,79.82,12.53
252,81.23,12.31
253,91.19,10.97
254,92.93,10.76
255,82.39,12.14
256,88.95,11.24
257,80.95,12.35
258,80.90,12.36
259,80.13,12.48
260,80.61,12.41
261,80.64,12.40
262,79.62,12.56
263,80.19,12.47
264,80.03,12.50
265,80.30,12.45
266,81.26,12.31
267,81.25,12.31
268,75.57,13.23
269,78.48,12.74
270,80.39,12.44
271,80.72,12.39
272,80.25,12.46
273,80.64,12.40
274,80.32,12.45
275,90.54,11.05
276,83.01,12.05
277,90.72,11.02
278,81.10,12.33
279,79.77,12.54
280,79.93,12.51
281,79.87,12.52
282,80.46,12.43
283,81.88,12.21
284,89.41,11.18
285,80.96,12.35
286,90.83,11.01
287,80.66,12.40
288,81.06,12.34
289,80.19,12.47
290,89.48,11.18
291,80.01,12.50
292,80.97,12.35
293,81.63,12.25
294,80.52,12.42
295,91.23,10.96
296,80.76,12.38
297,91.31,10.95
298,80.89,12.36
299,80.43,12.43
300,80.75,12.38
301,89.06,11.23
302,78.94,12.67
303,80.85,12.37
304,80.20,12.47
305,91.84,10.89
306,83.98,11.91
307,80.47,12.43
308,80.50,12.42
309,80.17,12.47
310,79.23,12.62
311,81.04,12.34
312,80.60,12.41
313,80.67,12.40
314,80.01,12.50
315,81.49,12.27
316,77.02,12.98
317,80.40,12.44
318,80.73,12.39
319,81.30,12.30
320,90.88,11.00
321,77.38,12.92
322,80.16,12.48
323,80.68,12.40
324,82.09,12.18
325,80.35,12.45
326,82.88,12.07
327,80.07,12.49
328,92.27,10.84
329,90.32,11.07
330,80.46,12.43
331,92.49,10.81
332,80.52,12.42
333,91.59,10.92
334,81.53,12.27
335,80.98,12.35
336,80.01,12.50
337,79.78,12.53
338,91.50,10.93
339,92.76,10.78
340,81.95,12.20
341,89.82,11.13
342,80.87,12.37
343,80.85,12.37
344,80.62,12.40
345,80.50,12.42
346,91.62,10.91
347,80.62,12.40
348,91.25,10.96
349,81.15,12.32
350,80.70,12.39
351,78.78,12.69
352,78.00,12.82
353,80.63,12.40
354,90.04,11.11
355,80.44,12.43
356,78.26,12.78
357,80.14,12.48
358,79.82,12.53
359,80.03,12.50
360,80.49,12.42
361,80.43,12.43
362,81.66,12.25
363,81.18,12.32
364,81.51,12.27
365,80.42,12.44
366,80.46,12.43
367,79.71,12.55
368,80.71,12.39
369,81.77,12.23
370,80.21,12.47
371,80.83,12.37
372,89.95,11.12
373,76.24,13.12
374,81.30,12.30
375,81.09,12.33
376,91.48,10.93
377,80.23,12.46
378,80.57,12.41
379,79.67,12.55
380,90.03,11.11
381,80.14,12.48
382,80.06,12.49
383,80.14,12.48
384,79.63,12.56
385,80.37,12.44
386,79.86,12.52
387,91.88,10.88
388,81.76,12.23
389,91.18,10.97
390,80.95,12.35
391,80.98,12.35
392,80.20,12.47
393,82.59,12.11
394,90.14,11.09
395,89.64,11.16
396,80.73,12.39
