Kare_No,Islem_Suresi_ms,Anlik_FPS
0,56.24,17.78
1,45.78,21.84
2,45.63,21.92
3,46.66,21.43
4,46.28,21.61
5,45.32,22.06
6,45.94,21.77
7,45.76,21.85
8,44.93,22.26
9,45.78,21.84
10,45.45,22.00
11,45.14,22.15
12,45.05,22.20
13,45.11,22.17
14,45.21,22.12
15,46.00,21.74
16,45.62,21.92
17,42.78,23.38
18,44.33,22.56
19,45.87,21.80
20,45.79,21.84
21,45.80,21.83
22,45.63,21.92
23,45.40,22.03
24,44.77,22.34
25,44.85,22.30
26,47.04,21.26
27,45.71,21.88
28,44.24,22.60
29,45.27,22.09
30,44.64,22.40
31,45.34,22.06
32,44.75,22.35
33,44.54,22.45
34,45.65,21.90
35,45.22,22.11
36,45.31,22.07
37,45.42,22.02
38,44.76,22.34
39,44.70,22.37
40,45.03,22.21
41,47.49,21.06
42,45.29,22.08
43,45.25,22.10
44,45.15,22.15
45,45.43,22.01
46,45.13,22.16
47,44.98,22.23
48,44.24,22.61
49,44.80,22.32
50,45.51,21.98
51,43.76,22.85
52,46.62,21.45
53,44.42,22.51
54,45.66,21.90
55,44.77,22.34
56,46.85,21.34
57,45.98,21.75
58,45.07,22.19
59,45.05,22.20
60,46.88,21.33
61,44.63,22.41
62,44.93,22.26
63,45.41,22.02
64,45.06,22.19
65,45.49,21.98
66,45.02,22.21
67,44.78,22.33
68,44.98,22.23
69,44.86,22.29
70,44.72,22.36
71,45.39,22.03
72,45.55,21.95
73,44.36,22.54
74,44.31,22.57
75,44.43,22.51
76,45.15,22.15
77,45.27,22.09
78,45.48,21.99
79,45.08,22.18
80,45.04,22.20
81,44.57,22.43
82,44.65,22.40
83,44.55,22.45
84,45.04,22.20
85,44.85,22.30
86,44.75,22.35
87,44.98,22.23
88,45.22,22.12
89,45.11,22.17
90,44.83,22.30
91,46.57,21.47
92,45.75,21.86
93,45.12,22.16
94,44.99,22.23
95,44.63,22.41
96,45.37,22.04
97,44.70,22.37
98,45.13,22.16
99,44.73,22.36
100,44.89,22.28
101,43.31,23.09
102,45.13,22.16
103,41.84,23.90
104,43.66,22.91
105,44.65,22.40
106,45.15,22.15
107,45.49,21.98
108,45.23,22.11
109,44.09,22.68
110,43.38,23.05
111,44.09,22.68
112,44.18,22.63
113,45.28,22.08
114,45.80,21.83
115,45.09,22.18
116,44.50,22.47
117,44.39,22.53
118,44.06,22.70
119,43.98,22.74
120,44.44,22.50
121,44.42,22.51
122,44.40,22.52
123,44.71,22.37
124,44.11,22.67
125,43.53,22.97
126,44.52,22.46
127,46.24,21.63
128,45.12,22.17
129,44.76,22.34
130,44.97,22.24
131,44.97,22.24
132,44.90,22.27
133,45.62,21.92
134,45.93,21.77
135,45.54,21.96
136,45.44,22.01
137,44.40,22.52
138,45.04,22.20
139,44.32,22.56
140,44.39,22.53
141,47.19,21.19
142,45.05,22.20
143,45.39,22.03
144,44.72,22.36
145,44.31,22.57
146,44.52,22.46
147,45.70,21.88
148,44.82,22.31
149,45.82,21.82
150,44.33,22.56
151,45.09,22.18
152,43.92,22.77
153,44.39,22.53
154,44.45,22.50
155,44.45,22.50
156,44.24,22.60
157,44.42,22.51
158,44.12,22.66
159,44.74,22.35
160,45.76,21.85
161,44.77,22.34
162,45.24,22.10
163,45.32,22.07
164,44.86,22.29
165,44.35,22.55
166,45.60,21.93
167,45.61,21.93
168,45.85,21.81
169,44.85,22.30
170,45.40,22.03
171,44.44,22.50
172,80.86,12.37
173,55.06,18.16
174,44.26,22.59
175,44.75,22.35
176,47.02,21.27
177,44.90,22.27
178,46.39,21.56
179,45.07,22.19
180,45.42,22.02
181,44.21,22.62
182,44.79,22.33
183,44.45,22.50
184,44.95,22.24
185,43.87,22.80
186,44.52,22.46
187,44.16,22.65
188,45.04,22.20
189,43.83,22.81
190,45.72,21.87
191,44.98,22.23
192,44.87,22.29
193,45.96,21.76
194,45.54,21.96
195,45.63,21.91
196,45.50,21.98
197,44.71,22.37
198,45.80,21.83
199,45.36,22.05
200,45.83,21.82
201,42.87,23.33
202,44.19,22.63
203,43.87,22.80
204,45.91,21.78
205,45.11,22.17
206,45.40,22.02
207,44.61,22.42
208,45.07,22.19
209,45.91,21.78
210,44.69,22.38
211,45.83,21.82
212,45.38,22.03
213,44.90,22.27
214,45.32,22.07
215,44.96,22.24
216,45.39,22.03
217,45.03,22.21
218,44.75,22.35
219,44.04,22.71
220,44.51,22.47
221,45.01,22.22
222,44.72,22.36
223,45.26,22.09
224,44.69,22.38
225,45.17,22.14
226,44.75,22.35
227,45.36,22.04
228,44.50,22.47
229,45.25,22.10
230,44.86,22.29
231,45.59,21.93
232,44.98,22.23
233,45.50,21.98
234,45.08,22.18
235,45.40,22.03
236,44.60,22.42
237,45.13,22.16
238,44.93,22.26
239,45.14,22.15
240,44.60,22.42
241,47.99,20.84
242,45.22,22.12
243,45.71,21.88
244,44.87,22.29
245,45.13,22.16
246,44.32,22.56
247,45.59,21.94
248,44.89,22.28
249,46.29,21.60
250,45.66,21.90
251,45.12,22.16
252,44.65,22.40
253,44.18,22.64
254,44.92,22.26
255,45.13,22.16
256,44.93,22.26
257,46.05,21.72
258,46.16,21.66
259,41.60,24.04
260,43.58,22.95
261,45.00,22.22
262,44.57,22.44
263,44.64,22.40
264,44.30,22.57
265,44.85,22.30
266,44.76,22.34
267,44.19,22.63
268,44.75,22.35
269,44.68,22.38
270,45.16,22.14
271,45.08,22.18
272,45.13,22.16
273,45.05,22.20
274,45.28,22.08
275,44.78,22.33
276,48.50,20.62
277,45.10,22.17
278,45.76,21.85
279,44.89,22.28
280,44.26,22.59
281,45.69,21.89
282,45.25,22.10
283,44.58,22.43
284,45.14,22.15
285,44.83,22.31
286,45.33,22.06
287,45.71,21.88
288,45.31,22.07
289,44.67,22.39
290,45.37,22.04
291,47.69,20.97
---,---,---
ORTALAMA_FPS,,22.14
