Frame_No,Process_Time_ms,Instant_FPS
0,752.54,1.33
1,47.58,21.02
2,37.13,26.93
3,40.04,24.97
4,47.28,21.15
5,46.34,21.58
6,40.12,24.92
7,43.54,22.97
8,50.69,19.73
9,42.20,23.70
10,43.27,23.11
11,46.72,21.41
12,45.21,22.12
13,42.45,23.56
14,41.38,24.16
15,43.00,23.26
16,40.52,24.68
17,42.96,23.28
18,43.25,23.12
19,39.04,25.61
20,38.51,25.96
21,39.91,25.06
22,39.37,25.40
23,41.78,23.93
24,38.87,25.73
25,39.17,25.53
26,39.92,25.05
27,40.47,24.71
28,41.63,24.02
29,43.05,23.23
30,44.39,22.53
31,42.89,23.32
32,40.92,24.44
33,40.68,24.58
34,40.16,24.90
35,39.88,25.07
36,37.89,26.39
37,38.66,25.87
38,39.45,25.35
39,43.27,23.11
40,40.73,24.55
41,41.59,24.04
42,39.67,25.21
43,36.21,27.61
44,42.06,23.78
45,41.45,24.13
46,41.42,24.14
47,38.74,25.81
48,39.89,25.07
49,39.61,25.24
50,39.35,25.41
51,40.34,24.79
52,44.35,22.55
53,41.22,24.26
54,44.42,22.51
55,39.69,25.20
56,42.93,23.29
57,41.57,24.06
58,41.06,24.36
59,38.94,25.68
60,41.60,24.04
61,41.22,24.26
62,39.67,25.21
63,39.79,25.13
64,38.34,26.08
65,38.77,25.79
66,39.54,25.29
67,40.44,24.73
68,39.95,25.03
69,38.93,25.69
70,38.89,25.71
71,39.19,25.51
72,42.45,23.56
73,45.04,22.20
74,40.69,24.57
75,42.09,23.76
76,43.54,22.97
77,40.72,24.56
78,39.34,25.42
79,38.70,25.84
80,40.58,24.64
81,38.67,25.86
82,38.78,25.79
83,39.16,25.54
84,39.44,25.35
85,39.52,25.30
86,43.21,23.14
87,45.71,21.88
88,40.77,24.53
89,39.88,25.08
90,41.36,24.18
91,38.64,25.88
92,39.38,25.39
93,40.23,24.86
94,40.00,25.00
95,43.95,22.75
96,42.40,23.58
97,45.57,21.94
98,40.15,24.91
99,39.69,25.19
100,39.64,25.23
101,38.81,25.77
102,41.91,23.86
103,40.46,24.71
104,40.56,24.65
105,43.46,23.01
106,41.71,23.98
107,39.89,25.07
108,39.10,25.57
109,42.23,23.68
110,43.06,23.22
111,42.40,23.59
112,41.31,24.21
113,40.62,24.62
114,40.90,24.45
115,38.67,25.86
116,39.82,25.11
117,45.41,22.02
118,42.69,23.43
119,39.84,25.10
120,42.73,23.40
121,41.19,24.28
122,40.49,24.70
123,39.22,25.50
124,42.21,23.69
125,43.94,22.76
126,44.62,22.41
127,40.44,24.73
128,41.24,24.25
129,39.88,25.07
130,38.52,25.96
131,40.93,24.43
132,41.77,23.94
133,41.83,23.91
134,38.67,25.86
135,40.35,24.78
136,35.90,27.85
137,40.07,24.96
138,40.40,24.75
139,39.90,25.06
140,39.02,25.63
141,39.18,25.52
142,39.85,25.09
143,40.12,24.92
144,40.83,24.49
145,38.83,25.75
146,38.57,25.93
147,39.20,25.51
148,39.75,25.15
149,39.70,25.19
150,38.72,25.82
151,39.17,25.53
152,41.58,24.05
153,44.47,22.49
154,48.10,20.79
155,44.85,22.30
156,42.02,23.80
157,43.26,23.11
158,40.64,24.60
159,40.80,24.51
160,41.07,24.35
161,38.46,26.00
162,38.99,25.65
163,39.26,25.47
164,40.54,24.67
165,39.93,25.04
166,41.78,23.93
167,39.83,25.10
168,41.11,24.33
169,40.54,24.67
170,41.78,23.94
171,38.61,25.90
172,38.68,25.85
173,39.54,25.29
174,39.82,25.11
175,43.71,22.88
176,40.08,24.95
177,40.29,24.82
178,40.73,24.55
179,41.81,23.92
180,44.27,22.59
181,44.16,22.65
182,40.22,24.86
183,40.00,25.00
184,39.34,25.42
185,41.73,23.96
186,41.74,23.96
187,39.95,25.03
188,42.19,23.70
189,39.95,25.03
190,40.26,24.84
191,44.07,22.69
192,42.07,23.77
193,40.26,24.84
194,39.49,25.32
195,39.91,25.05
196,39.78,25.14
197,40.39,24.76
198,39.08,25.59
199,39.27,25.46
200,45.39,22.03
201,41.19,24.28
202,41.81,23.92
203,43.37,23.06
204,46.46,21.52
205,41.53,24.08
206,38.84,25.74
207,39.59,25.26
208,40.76,24.53
209,39.24,25.49
210,40.40,24.75
211,40.39,24.76
212,43.27,23.11
213,41.56,24.06
214,40.99,24.40
215,40.87,24.47
216,38.80,25.77
217,41.27,24.23
218,39.47,25.33
219,44.67,22.39
220,41.26,24.24
221,41.79,23.93
222,42.43,23.57
223,40.33,24.79
224,41.08,24.34
225,38.61,25.90
226,39.87,25.08
227,40.05,24.97
228,39.33,25.42
229,37.36,26.77
230,38.93,25.69
231,38.37,26.06
232,39.26,25.47
233,39.01,25.63
234,40.97,24.41
235,41.60,24.04
236,39.08,25.59
237,39.65,25.22
238,38.44,26.02
239,38.38,26.05
240,39.70,25.19
241,40.35,24.78
242,41.74,23.96
243,40.94,24.43
244,40.29,24.82
245,40.33,24.79
246,40.35,24.78
247,40.64,24.61
248,35.69,28.02
249,36.43,27.45
250,38.10,26.25
251,41.47,24.12
252,41.34,24.19
253,36.56,27.35
254,36.50,27.40
255,37.51,26.66
256,38.09,26.25
257,38.83,25.75
258,38.28,26.12
259,39.69,25.20
260,40.43,24.74
261,45.77,21.85
262,41.87,23.88
263,39.72,25.18
264,42.79,23.37
265,43.53,22.97
266,41.87,23.89
267,40.47,24.71
268,38.86,25.74
269,40.19,24.88
270,37.88,26.40
271,38.54,25.95
272,39.11,25.57
273,41.33,24.20
274,40.26,24.84
275,40.61,24.62
276,37.11,26.94
277,38.85,25.74
278,43.80,22.83
279,44.78,22.33
280,48.03,20.82
281,43.96,22.75
282,39.25,25.48
283,39.61,25.24
284,45.90,21.79
285,46.55,21.48
286,45.34,22.05
287,44.16,22.65
288,38.83,25.76
289,41.40,24.16
290,41.55,24.07
291,44.53,22.46
