Video,Model,Aktarim_Modu,Frame_ID,Decode_Zamani_ms,Stabil_FPS
12331098_1080_1920_25fps,V5_Standart,ZLIB,74,35.24,29.23
12331098_1080_1920_25fps,V5_Standart,ZLIB,75,34.16,29.23
12331098_1080_1920_25fps,V5_Standart,ZLIB,76,34.85,29.21
12331098_1080_1920_25fps,V5_Standart,ZLIB,77,34.93,29.21
12331098_1080_1920_25fps,V5_Standart,ZLIB,78,33.92,29.22
12331098_1080_1920_25fps,V5_Standart,ZLIB,79,34.46,29.2
12331098_1080_1920_25fps,V5_Standart,ZLIB,80,34.03,29.21
12331098_1080_1920_25fps,V5_Standart,ZLIB,81,33.76,29.22
12331098_1080_1920_25fps,V5_Standart,ZLIB,82,33.88,29.23
12331098_1080_1920_25fps,V5_Standart,ZLIB,83,33.84,29.24
12331098_1080_1920_25fps,V5_Standart,ZLIB,84,33.86,29.24
12331098_1080_1920_25fps,V5_Standart,ZLIB,85,33.84,29.25
12331098_1080_1920_25fps,V5_Standart,ZLIB,86,33.82,29.26
12331098_1080_1920_25fps,V5_Standart,ZLIB,87,36.2,29.2
12331098_1080_1920_25fps,V5_Standart,ZLIB,88,34.67,29.18
12331098_1080_1920_25fps,V5_Standart,ZLIB,89,34.71,29.17
12331098_1080_1920_25fps,V5_Standart,ZLIB,90,33.87,29.18
12331098_1080_1920_25fps,V5_Standart,ZLIB,91,33.91,29.19
12331098_1080_1920_25fps,V5_Standart,ZLIB,92,33.91,29.2
12331098_1080_1920_25fps,V5_Standart,ZLIB,93,33.81,29.21
12331098_1080_1920_25fps,V5_Standart,ZLIB,94,33.95,29.21
12331098_1080_1920_25fps,V5_Standart,ZLIB,95,33.83,29.21
12331098_1080_1920_25fps,V5_Standart,ZLIB,96,33.85,29.22
12331098_1080_1920_25fps,V5_Standart,ZLIB,97,33.87,29.22
12331098_1080_1920_25fps,V5_Standart,ZLIB,98,33.87,29.22
12331098_1080_1920_25fps,V5_Standart,ZLIB,99,33.96,29.22
12331098_1080_1920_25fps,V5_Standart,ZLIB,100,33.8,29.23
12331098_1080_1920_25fps,V5_Standart,ZLIB,101,33.88,29.24
12331098_1080_1920_25fps,V5_Standart,ZLIB,102,33.94,29.25
12331098_1080_1920_25fps,V5_Standart,ZLIB,103,35.71,29.23
12331098_1080_1920_25fps,V5_Standart,ZLIB,104,34.08,29.26
12331098_1080_1920_25fps,V5_Standart,ZLIB,105,33.76,29.27
12331098_1080_1920_25fps,V5_Standart,ZLIB,106,33.78,29.3
12331098_1080_1920_25fps,V5_Standart,ZLIB,107,33.84,29.34
12331098_1080_1920_25fps,V5_Standart,ZLIB,108,33.84,29.34
12331098_1080_1920_25fps,V5_Standart,ZLIB,109,33.93,29.35
12331098_1080_1920_25fps,V5_Standart,ZLIB,110,33.89,29.36
12331098_1080_1920_25fps,V5_Standart,ZLIB,111,33.92,29.35
12331098_1080_1920_25fps,V5_Standart,ZLIB,112,33.89,29.35
12331098_1080_1920_25fps,V5_Standart,ZLIB,113,33.86,29.35
12331098_1080_1920_25fps,V5_Standart,ZLIB,114,33.92,29.35
12331098_1080_1920_25fps,V5_Standart,ZLIB,115,33.82,29.35
12331098_1080_1920_25fps,V5_Standart,ZLIB,116,33.82,29.35
12331098_1080_1920_25fps,V5_Standart,ZLIB,117,33.86,29.42
12331098_1080_1920_25fps,V5_Standart,ZLIB,118,33.87,29.44
12331098_1080_1920_25fps,V5_Standart,ZLIB,119,33.9,29.46
12331098_1080_1920_25fps,V5_Standart,ZLIB,120,33.84,29.47
12331098_1080_1920_25fps,V5_Standart,ZLIB,121,33.93,29.46
12331098_1080_1920_25fps,V5_Standart,ZLIB,122,33.83,29.47
12331098_1080_1920_25fps,V5_Standart,ZLIB,123,33.87,29.47
12331098_1080_1920_25fps,V5_Standart,ZLIB,124,33.83,29.47
12331098_1080_1920_25fps,V5_Standart,ZLIB,125,33.85,29.47
12331098_1080_1920_25fps,V5_Standart,ZLIB,126,33.97,29.47
12331098_1080_1920_25fps,V5_Standart,ZLIB,127,33.87,29.47
12331098_1080_1920_25fps,V5_Standart,ZLIB,128,33.87,29.47
12331098_1080_1920_25fps,V5_Standart,ZLIB,129,33.88,29.47
12331098_1080_1920_25fps,V5_Standart,ZLIB,130,33.86,29.47
12331098_1080_1920_25fps,V5_Standart,ZLIB,131,33.99,29.46
