Epoch,Train_Loss,Val_Loss,VGG_Train_Loss,VGG_Val_Loss
1,0.7941278762287564,0.7551192454993725,4.760887093986902,4.524532822147012
2,0.7260470067254371,0.6478411432355642,4.326717453346484,3.7094293657690285
3,0.6368621835485101,0.6010400153696537,3.6319968265170854,3.3736863642930985
4,0.5713566713035106,0.5334743110463023,3.266029309709039,3.0525421794503926
5,0.4840675815939903,0.46845270562916996,2.7557614568000037,2.7228669729083776
6,0.4432361868520578,0.40571890473365785,2.5828885350272888,2.2691578816622497
7,0.39472468853410747,0.3638931181281805,2.2335751237761645,2.067283611185849
8,0.3521437263737122,0.33978626541793344,1.9549574680833353,1.9537480633705855
9,0.32996887118659085,0.32282318640500307,1.8520174649233618,1.8161737468093633
10,0.30367316376003956,0.3035189058631659,1.6925241554983788,1.654513138346374
11,0.2859935944796436,0.2668041015043855,1.6007196472750769,1.4186941923573613
12,0.2724334276384778,0.26399357691407205,1.5260902043535478,1.4514148954302073
13,0.25970009095552893,0.25012883162125943,1.4531837209852205,1.376307430677116
14,0.2500226447151767,0.24739568252116442,1.379647592931158,1.31557724121958
15,0.23462959215458895,0.23990651639178395,1.2750499544147815,1.3148109460249544
16,0.23495179075333808,0.2216594464145601,1.3058145018604894,1.1524189498275519
17,0.22737007190783817,0.23122515249997377,1.2348838907976945,1.1748619556427002
18,0.22159659721785122,0.2280127912759781,1.2254182602485848,1.2580048758536577
19,0.21385111475570334,0.1986083524301648,1.1802633703479337,0.9981516489759088
20,0.20698867477476596,0.20120978485792876,1.1129872758458885,0.9809354421682656
21,0.20150026640751295,0.18822429431602358,1.0748335706794427,0.9629346902482212
22,0.19810225169898735,0.19327985346317292,1.0673188882879914,1.0104261593893171
23,0.18923313395223684,0.1800679919309914,0.9838776382410692,0.9227645922452211
24,0.18290376969509656,0.1803603728301823,0.9702701801330679,0.9220367564819754
25,0.17837709539259475,0.18035248667001724,0.9158114456571639,0.8729354784823954
26,0.17967301519173715,0.1703309716656804,0.9658651183462805,0.817639796808362
27,0.17306758595837488,0.1698389407247305,0.883478675968945,0.8275693016126752
28,0.17404188915259308,0.16988743301481007,0.8915040136211448,0.8722986666485667
29,0.1706215897988942,0.16847205571830273,0.8958831830985017,0.8995361227542162
30,0.16849929675873782,0.17652463736012577,0.876458019287222,0.9342319298535585
31,0.16297388750438888,0.15484460815787315,0.8327326016190152,0.7750102466903627
32,0.16164365229714248,0.163061058614403,0.8360553393657837,0.783811001945287
33,0.16184235026852953,0.15843913732096554,0.8494387864445646,0.8047488799318672
34,0.15704842270869349,0.15208831019699573,0.8100045040042864,0.6948681709356606
35,0.15659591857757832,0.14922375259920956,0.8049592446225385,0.7035837983712554
36,0.1509565251155032,0.15893213199451567,0.7714036192227569,0.7982998669147492
37,0.14973389300414258,0.14650446311570703,0.7766447498152653,0.7250942681916058
38,0.1519692363217473,0.15219555785879493,0.7858195080991006,0.7292496355250477
39,0.1498295637882418,0.1538776892237365,0.747597982480915,0.7609925939701497
40,0.14860563289581075,0.14650138849392533,0.7606528426106606,0.7464314154349267
41,0.14766115359444584,0.14476272813044488,0.7647842064241155,0.7000199427828193
42,0.14673733348544274,0.13970235018059612,0.7687324968632311,0.695299331145361
43,0.14473572788863545,0.14976944625377656,0.756632068913637,0.7985146949999035
44,0.14383612164917092,0.14220054736360907,0.7371401292996274,0.7293098677881062
45,0.13998001052273645,0.14293123236857355,0.7199717830193954,0.7319289500825107
46,0.14294909428701633,0.13599165929481388,0.7468865676576064,0.6371761840768159
47,0.14009771581428745,0.14089247211813927,0.7053605152707961,0.6847671110183
48,0.1381184289749298,0.12617713226936758,0.7047426446392718,0.6137436891905963
49,0.1376694425785293,0.13100096522830426,0.7109087135797988,0.6535836776718498
50,0.13936694375653233,0.1392930081114173,0.7315731250370542,0.694437205977738
51,0.1380647620755351,0.13030329016037284,0.7080181221477687,0.5968993324786425
52,0.13548108864472144,0.13937023999169468,0.7035561487492588,0.7139704459346831
53,0.13380928575578663,0.13202535891905426,0.6902716285600844,0.6402561908587814
54,0.13434416158124804,0.13398198802024125,0.7006821431736979,0.6891558925621212
55,0.135421807738021,0.13562503424473107,0.7063489004193495,0.7096604963764548
