Epoch,Train_Loss,Val_Loss,VGG_Train_Loss,VGG_Val_Loss
1,0.7696124236823784,0.7734549392014742,4.539773505108638,4.947205709293485
2,0.7039088628772232,0.6734499655663967,4.509283802409967,4.403844620659948
3,0.6283455325497521,0.6147505877539515,4.012333673176666,3.923774427548051
4,0.5547610004329019,0.5588009359315038,3.5528943584404056,3.688234788365662
5,0.49955492498767046,0.478982537612319,3.192854707170692,3.038389914110303
6,0.46566159340242547,0.45021378230303527,2.9590313509727517,2.8788175260648132
7,0.442113850151913,0.42634028382599354,2.7542462820601132,2.571965152397752
8,0.4082982467280494,0.3957340936176479,2.5200218768790363,2.418481494858861
9,0.39501425271025964,0.38329654801636937,2.41562290781488,2.269316194206476
10,0.37657181728217337,0.3790326127782464,2.2709294602274896,2.2757441136986016
11,0.36064628314019903,0.35180583894252776,2.179106782904516,2.0934438653290273
12,0.3467089541359908,0.3513666464947164,2.016012297322353,2.188492154330015
13,0.33975574190004004,0.3323893637396395,2.04241671687406,1.9921879971399903
14,0.3207313597616222,0.33309153085574505,1.8806261357851326,1.8894523029215633
15,0.3044960257700748,0.32041839612647893,1.7698298272573285,1.9954513663426041
16,0.3016255399522682,0.30101160435006025,1.7665209086197946,1.8051309391856194
17,0.29110404091576736,0.30229166662320495,1.67491704966459,1.808940377086401
18,0.2779758618213236,0.2594785340130329,1.6023788229510603,1.5201995206065475
19,0.26272241106877725,0.2640470162034035,1.4961424698225325,1.5035722855478526
20,0.24501945149774354,0.23956444608047606,1.362285219722738,1.2956189898774029
21,0.23072098600160745,0.23257684260606765,1.2647916074221333,1.300127877201885
22,0.21608198556221195,0.21544829877093435,1.1562119725263782,1.16249768845737
23,0.21080955126219325,0.19716591853648424,1.133799183767082,1.025113961752504
24,0.19672684685534073,0.19232051661238075,1.0499800487111013,0.9928706387057901
25,0.18659623377542528,0.19530879613012075,0.9891306168348011,1.0363935717381536
26,0.18516313955187796,0.19406897034496068,0.9769472426941825,1.0908632292412221
27,0.17874970802416404,0.1791805845685303,0.9325411290758185,0.9865286835469306
28,0.1729490200781988,0.17368675665929914,0.8992545645890965,0.9163487752899527
29,0.16958563447309036,0.15878644632175565,0.8799547880318843,0.8011189064010977
30,0.16247878388708664,0.1716665885411203,0.83367579531235,0.9288903019391
31,0.16358289351790314,0.16470048651099206,0.8420620100831406,0.8964163091033697
32,0.16038120013868642,0.1596934008412063,0.8377620765059772,0.787905284948647
33,0.156935381071849,0.1614858525339514,0.8170739928570886,0.8468587711453438
34,0.1568638324116667,0.14934576759114862,0.8055248335831695,0.7311735160648822
35,0.1517595432802207,0.16019189404323697,0.7734090011359916,0.8286509849131107
36,0.146229879045859,0.15390317435376347,0.7401875900829004,0.7925905354321003
37,0.14869716994257437,0.15040364181622862,0.763686014375546,0.7287688039243221
38,0.15165645111248724,0.1441100378986448,0.7873873800504952,0.7743940384127199
39,0.14496699852041073,0.1436530150938779,0.7414651495921943,0.72763319471851
40,0.1464570727199316,0.15673476606607437,0.7368860063194814,0.7753144827671349
41,0.14654036057181657,0.13844842710532249,0.7543616836683618,0.65631571887061
42,0.1418999090221607,0.1396885414607823,0.7245229931910419,0.7280152220278978
43,0.14520101407542824,0.13640140243805945,0.7473357206624415,0.677511875052005
44,0.14552969457581638,0.13808736577630043,0.7409091650042683,0.6538783142343163
45,0.14318457225130665,0.13326619421131908,0.7240392742212862,0.6464614108204841
46,0.14115841638607282,0.14186800993047655,0.7335093003438993,0.7158413193188607
47,0.14297640403836137,0.138082626927644,0.7320969568099827,0.6907344206236303
48,0.1418807052851965,0.14115784727036954,0.7332145451619807,0.7071816781535745
49,0.13715428826916548,0.14029019963927566,0.694663943686626,0.695741824619472
50,0.14172327673683563,0.13176708086393774,0.7215683124079887,0.6397190529853105
51,0.13791180624523097,0.1316428911872208,0.71040108082816,0.6306301823817193
52,0.13856439609597954,0.13685034224763512,0.6932657637840344,0.6703902817331254
53,0.13614134464619887,0.13855891502462328,0.6988722854242143,0.7153290703892707
54,0.13849056063012943,0.13845635796897113,0.7232165451109823,0.7333882889710367
55,0.13655501374871368,0.1357721365056932,0.6775639772363421,0.6331152059137821
56,0.13527248952434295,0.13223807234317064,0.6869608814207216,0.6907774067483843
57,0.13735262512539823,0.13861311487853528,0.700843961805933,0.6776653595268727
58,0.14008926767855884,0.13321752846240997,0.7231059776412117,0.6375848184339702
