Epoch,Train_Loss,Valid_Loss,LR
1,0.049378339993457,0.030200155852362513,0.0002
2,0.027549723116060097,0.0303186367591843,0.0002
3,0.026482405674954256,0.030542600122280418,0.0002
4,0.025879281970361868,0.0306214183755219,0.0002
5,0.025675439486900965,0.030579301421530546,0.0002
6,0.025507542309661707,0.0304439693572931,0.0002
7,0.025459489785134792,0.03082104293163866,0.0002
8,0.02537820902218421,0.03078379129525274,0.0002
9,0.025209026398758095,0.03099601575639099,0.0002
10,0.025277614172548056,0.030441398010589184,0.0002
11,0.02518967592716217,0.030184623051900415,0.0002
12,0.02510125521073739,0.030525886812247337,0.0002
13,0.02507005393629273,0.030239122286438942,0.0002
14,0.025092560961842536,0.030263785892166196,0.0002
15,0.025001724179834126,0.030414105341769755,0.0002
16,0.024938510487476983,0.030146757105831055,0.0002
17,0.024917733921358983,0.03042771603446454,0.0002
18,0.0249366005808115,0.030399430762045085,0.0002
19,0.02489687460164229,0.03007039214950055,0.0002
20,0.024935035397609075,0.0335768805257976,0.0002
21,0.0247245309005181,0.030035906401462854,0.0002
22,0.02477482751508554,0.029969845693558456,0.0002
23,0.024775370164463916,0.03004984279163182,0.0002
24,0.024712083088854947,0.030008631786331535,0.0002
25,0.024707957110057275,0.030324846655130386,0.0002
26,0.024645918507128953,0.029918298325501382,0.0002
27,0.02468266876290242,0.030107730766758323,0.0002
28,0.024580943102637927,0.03009608865249902,0.0002
29,0.02462722887471318,0.02987376692937687,0.0002
30,0.024622915856540202,0.02995546185411513,0.0002
31,0.0245600618198514,0.029911434256937354,0.0002
32,0.024491866352657477,0.029975860989652575,0.0002
33,0.02446964329232772,0.029829214273486285,0.0002
34,0.024455981105566026,0.03009542016778141,0.0002
35,0.024369768486668667,0.02987914677010849,0.0002
36,0.02451335761323571,0.029856344012077898,0.0002
37,0.024373881903787455,0.029795846920460462,0.0002
38,0.024370287294189136,0.029654505352955312,0.0002
39,0.024260116029530765,0.02972217958653346,0.0002
40,0.02435580460478862,0.02976152809569612,0.0002
41,0.02427641662582755,0.029705767647828906,0.0002
42,0.024247579937179884,0.02970273554325104,0.0002
43,0.02424601015324394,0.030067387083545328,0.0002
44,0.02425380776201685,0.02970745387021452,0.0002
45,0.024185035094618796,0.02964150731218979,0.0002
46,0.024207981719324985,0.029653168893419207,0.0002
47,0.024161540190378826,0.029759939713403582,0.0002
48,0.02413463209817807,0.030303351040929558,0.0002
49,0.024168188561995825,0.029921611556783318,0.0002
50,0.024064452502876522,0.02961814695969224,0.0002
51,0.024067439692715804,0.029743705638684333,0.0002
52,0.024044420812278988,0.029784821879584342,0.0002
53,0.02404681752373775,0.02958334445953369,0.0002
54,0.024024184472858905,0.02962125722318888,0.0002
55,0.02405827734991908,0.029568881802260874,0.0002
56,0.023956002311160168,0.029642116869799794,0.0002
57,0.02400370990484953,0.02960226601921022,0.0002
58,0.024005556970834733,0.029813343305140735,0.0002
59,0.023960312580068907,0.02960456011351198,0.0002
60,0.02394746497894327,0.02959610987221822,0.0002
61,0.023962369608382383,0.029545952396001666,0.0002
62,0.023923375795284908,0.0296658603544347,0.0002
63,0.023908908640344936,0.029562542871572076,0.0002
64,0.02388453840216001,0.029832998574711382,0.0002
65,0.023937483043720325,0.029602784716989846,0.0002
66,0.023853084426373242,0.02955871823942289,0.0002
67,0.023833457371840873,0.029572750062216074,0.0002
68,0.02385800046597918,0.030759400278329848,0.0002
69,0.023829697662343583,0.02986541301943362,0.0002
70,0.023869372633596262,0.029648931266274305,0.0002
71,0.02382905901223421,0.029646504533011465,0.0002
72,0.023818529054522513,0.02953410107875243,0.0002
73,0.0237925519545873,0.02962322417180985,0.0002
74,0.02377629137908419,0.029639446111395955,0.0002
75,0.023790744489679733,0.029653422490227968,0.0002
76,0.023753413062542677,0.02955424237297848,0.0002
77,0.023802530551950137,0.02966326363151893,0.0002
78,0.023737224835902453,0.029578593887854367,0.0002
79,0.023757619744787614,0.029618639859836548,0.0002
80,0.023716354355216025,0.0297069543460384,0.0002
81,0.0237196327795585,0.02956187667325139,0.0002
82,0.023803298262258372,0.02953856864012778,0.0002
83,0.023657896131277084,0.029632274582982062,0.0002
84,0.02357622558126847,0.029498954992741345,0.0001
85,0.023604463700205087,0.02954284904524684,0.0001
86,0.023589505400508644,0.02946656072512269,0.0001
87,0.023591816330949464,0.02958379708696157,0.0001
88,0.023595733320961397,0.02957758113509044,0.0001
89,0.02357667808731397,0.029541229205206035,0.0001
90,0.023584709741175176,0.02952138229738921,0.0001
91,0.023576490317781765,0.029500283179804684,0.0001
92,0.023560777770976225,0.029505881741642953,0.0001
93,0.023566689179589352,0.02962109650950879,0.0001
94,0.023544814539452393,0.02962369005661458,0.0001
95,0.02355389599253734,0.029587888347450644,0.0001
96,0.02355671539902687,0.029519765563309194,0.0001
97,0.023539474919438363,0.029512983846943827,0.0001
98,0.023502666883170605,0.029520370948594065,5e-05
99,0.023498148314654826,0.029459575091022996,5e-05
100,0.02349881497522195,0.02950194704113528,5e-05
