Epoch,Train_Loss,Valid_Loss,Learning_Rate
1,0.053253194672365986,0.03093292184174061,0.0001
2,0.027819504054884116,0.030146979012060912,0.0001
3,0.02629741119220853,0.030045572710223498,0.0001
4,0.025740881262967984,0.030348259322345257,0.0001
5,0.02543896896019578,0.02982404542621225,0.0001
6,0.02521085259690881,0.030069025740958752,0.0001
7,0.025095483695467314,0.030107942372560502,0.0001
8,0.024912977767487368,0.030048682091291995,0.0001
9,0.024691711576034624,0.029539403147064148,0.0001
10,0.0244909693946441,0.030901721883565186,0.0001
11,0.024319577944775423,0.029566411268897353,0.0001
12,0.024132808730006217,0.02967935677152127,0.0001
13,0.0240253550944229,0.029585586658213286,0.0001
14,0.024133320911477008,0.029521256645675748,0.0001
15,0.02389635449896256,0.029401670745573937,0.0001
16,0.02386678159609437,0.029374450761824846,0.0001
17,0.023776769443104664,0.030069899386726318,0.0001
18,0.023763309470067422,0.029605265751015394,0.0001
19,0.023637735993911824,0.029495020194444804,0.0001
20,0.023668080907315016,0.029617852945812047,0.0001
21,0.02361461317787568,0.029249683504458515,0.0001
22,0.02352470715964834,0.02933161616558209,0.0001
23,0.023420280971874794,0.029494045444298535,0.0001
24,0.023477657563984393,0.029586833629291504,0.0001
25,0.023422307958205543,0.02939690292114392,0.0001
26,0.023399315661440292,0.029337118240073325,0.0001
27,0.02341742154334982,0.029532553004100917,0.0001
28,0.023265670571476223,0.029392386926338075,5e-05
29,0.023230458377550046,0.029430774110369384,5e-05
30,0.023158439058810473,0.02923620066838339,5e-05
31,0.023243664065996806,0.029378457455895842,5e-05
32,0.023191455950339637,0.029494249329436572,5e-05
33,0.02320965021972855,0.029359838259406388,5e-05
34,0.023208186113586028,0.02926898950478062,5e-05
35,0.02314872612307469,0.02921480137621984,5e-05
36,0.023161836681266625,0.02952388989273459,5e-05
