Kare,Tip,PSNR,Bandwidth
337,SUNUCU_KARE,inf,DOWNLOADED
338,AI_SENTEZ,33.80,SAVED
339,AI_SENTEZ,32.41,SAVED
340,AI_SENTEZ,30.93,SAVED
341,SUNUCU_KARE,inf,DOWNLOADED
342,AI_SENTEZ,36.10,SAVED
343,AI_SENTEZ,32.18,SAVED
344,AI_SENTEZ,31.52,SAVED
345,SUNUCU_KARE,inf,DOWNLOADED
346,AI_SENTEZ,38.14,SAVED
347,SUNUCU_KARE,inf,DOWNLOADED
348,AI_SENTEZ,34.26,SAVED
349,AI_SENTEZ,32.75,SAVED
350,AI_SENTEZ,31.06,SAVED
351,SUNUCU_KARE,inf,DOWNLOADED
352,AI_SENTEZ,35.59,SAVED
353,AI_SENTEZ,31.82,SAVED
354,AI_SENTEZ,31.07,SAVED
355,SUNUCU_KARE,inf,DOWNLOADED
356,AI_SENTEZ,35.03,SAVED
357,AI_SENTEZ,33.07,SAVED
358,AI_SENTEZ,31.52,SAVED
359,SUNUCU_KARE,inf,DOWNLOADED
360,AI_SENTEZ,32.85,SAVED
361,SUNUCU_KARE,inf,DOWNLOADED
362,AI_SENTEZ,36.96,SAVED
363,SUNUCU_KARE,inf,DOWNLOADED
364,AI_SENTEZ,37.14,SAVED
365,SUNUCU_KARE,inf,DOWNLOADED
366,AI_SENTEZ,35.47,SAVED
367,AI_SENTEZ,33.21,SAVED
368,AI_SENTEZ,31.07,SAVED
369,SUNUCU_KARE,inf,DOWNLOADED
370,AI_SENTEZ,34.94,SAVED
371,SUNUCU_KARE,inf,DOWNLOADED
372,AI_SENTEZ,37.57,SAVED
373,SUNUCU_KARE,inf,DOWNLOADED
374,AI_SENTEZ,35.89,SAVED
375,AI_SENTEZ,32.04,SAVED
376,AI_SENTEZ,31.55,SAVED
377,SUNUCU_KARE,inf,DOWNLOADED
378,AI_SENTEZ,34.02,SAVED
379,AI_SENTEZ,32.69,SAVED
380,AI_SENTEZ,31.22,SAVED
381,SUNUCU_KARE,inf,DOWNLOADED
382,AI_SENTEZ,35.68,SAVED
383,AI_SENTEZ,32.23,SAVED
384,AI_SENTEZ,31.59,SAVED
385,SUNUCU_KARE,inf,DOWNLOADED
386,SUNUCU_KARE,inf,DOWNLOADED
387,SUNUCU_KARE,inf,DOWNLOADED
388,SUNUCU_KARE,inf,DOWNLOADED
389,SUNUCU_KARE,inf,DOWNLOADED
390,SUNUCU_KARE,inf,DOWNLOADED
391,SUNUCU_KARE,inf,DOWNLOADED
392,SUNUCU_KARE,inf,DOWNLOADED
393,SUNUCU_KARE,inf,DOWNLOADED
394,SUNUCU_KARE,inf,DOWNLOADED
395,SUNUCU_KARE,inf,DOWNLOADED
396,AI_SENTEZ,37.80,SAVED
397,SUNUCU_KARE,inf,DOWNLOADED
398,AI_SENTEZ,35.82,SAVED
399,SUNUCU_KARE,inf,DOWNLOADED
400,AI_SENTEZ,33.92,SAVED
401,AI_SENTEZ,32.86,SAVED
402,AI_SENTEZ,32.10,SAVED
403,SUNUCU_KARE,inf,DOWNLOADED
404,AI_SENTEZ,36.24,SAVED
405,AI_SENTEZ,32.48,SAVED
406,AI_SENTEZ,31.87,SAVED
407,SUNUCU_KARE,inf,DOWNLOADED
408,AI_SENTEZ,34.09,SAVED
409,AI_SENTEZ,32.83,SAVED
410,AI_SENTEZ,31.17,SAVED
411,SUNUCU_KARE,inf,DOWNLOADED
412,AI_SENTEZ,37.99,SAVED
413,SUNUCU_KARE,inf,DOWNLOADED
414,AI_SENTEZ,36.51,SAVED
415,AI_SENTEZ,32.52,SAVED
416,AI_SENTEZ,32.11,SAVED
417,SUNUCU_KARE,inf,DOWNLOADED
418,AI_SENTEZ,34.29,SAVED
419,AI_SENTEZ,32.80,SAVED
420,AI_SENTEZ,31.14,SAVED
421,SUNUCU_KARE,inf,DOWNLOADED
422,AI_SENTEZ,36.32,SAVED
423,AI_SENTEZ,32.81,SAVED
424,AI_SENTEZ,32.05,SAVED
425,SUNUCU_KARE,inf,DOWNLOADED
426,AI_SENTEZ,35.69,SAVED
427,AI_SENTEZ,33.71,SAVED
428,AI_SENTEZ,31.72,SAVED
429,SUNUCU_KARE,inf,DOWNLOADED
430,AI_SENTEZ,35.46,SAVED
431,SUNUCU_KARE,inf,DOWNLOADED
432,AI_SENTEZ,38.23,SAVED
433,SUNUCU_KARE,inf,DOWNLOADED
434,SUNUCU_KARE,inf,DOWNLOADED
435,AI_SENTEZ,35.89,SAVED
436,SUNUCU_KARE,inf,DOWNLOADED
437,AI_SENTEZ,37.79,SAVED
438,SUNUCU_KARE,inf,DOWNLOADED
439,AI_SENTEZ,36.96,SAVED
440,SUNUCU_KARE,inf,DOWNLOADED
441,AI_SENTEZ,36.98,SAVED
442,SUNUCU_KARE,inf,DOWNLOADED
443,AI_SENTEZ,35.59,SAVED
444,SUNUCU_KARE,inf,DOWNLOADED
445,AI_SENTEZ,35.45,SAVED
446,SUNUCU_KARE,inf,DOWNLOADED
447,SUNUCU_KARE,inf,DOWNLOADED
448,SUNUCU_KARE,inf,DOWNLOADED
449,AI_SENTEZ,37.86,SAVED
450,SUNUCU_KARE,inf,DOWNLOADED
451,AI_SENTEZ,38.21,SAVED
452,SUNUCU_KARE,inf,DOWNLOADED
453,AI_SENTEZ,36.09,SAVED
454,SUNUCU_KARE,inf,DOWNLOADED
455,AI_SENTEZ,35.30,SAVED
456,SUNUCU_KARE,inf,DOWNLOADED
457,SUNUCU_KARE,inf,DOWNLOADED
458,AI_SENTEZ,33.68,SAVED
