Kare_No,Eylem,PSNR_dB,SSIM,Tasarruf_Durumu
0,ORIJINAL,inf,1.0000,GÖNDERİLDİ
1,AI_SENTEZ,38.59,0.9914,KURTARILDI
2,AI_SENTEZ,36.11,0.9895,KURTARILDI
3,AI_SENTEZ,34.09,0.9871,KURTARILDI
4,AI_SENTEZ,33.46,0.9875,KURTARILDI
5,AI_SENTEZ,32.05,0.9845,KURTARILDI
6,AI_SENTEZ,31.93,0.9853,KURTARILDI
7,AI_SENTEZ,31.90,0.9853,KURTARILDI
8,ORIJINAL,inf,1.0000,GÖNDERİLDİ
9,AI_SENTEZ,44.56,0.9962,KURTARILDI
10,AI_SENTEZ,45.18,0.9960,KURTARILDI
11,AI_SENTEZ,42.63,0.9951,KURTARILDI
12,AI_SENTEZ,46.30,0.9956,KURTARILDI
13,AI_SENTEZ,42.20,0.9935,KURTARILDI
14,AI_SENTEZ,44.26,0.9941,KURTARILDI
15,AI_SENTEZ,43.62,0.9937,KURTARILDI
16,ORIJINAL,inf,1.0000,GÖNDERİLDİ
17,AI_SENTEZ,44.06,0.9958,KURTARILDI
18,AI_SENTEZ,44.67,0.9957,KURTARILDI
19,AI_SENTEZ,42.19,0.9948,KURTARILDI
20,AI_SENTEZ,46.16,0.9954,KURTARILDI
21,AI_SENTEZ,41.66,0.9934,KURTARILDI
22,AI_SENTEZ,43.26,0.9938,KURTARILDI
23,AI_SENTEZ,42.39,0.9934,KURTARILDI
24,ORIJINAL,inf,1.0000,GÖNDERİLDİ
25,AI_SENTEZ,42.67,0.9938,KURTARILDI
26,AI_SENTEZ,40.47,0.9920,KURTARILDI
27,AI_SENTEZ,36.91,0.9896,KURTARILDI
28,ORIJINAL,inf,1.0000,GÖNDERİLDİ
29,AI_SENTEZ,38.07,0.9903,KURTARILDI
30,ORIJINAL,inf,1.0000,GÖNDERİLDİ
31,AI_SENTEZ,33.40,0.9853,KURTARILDI
32,ORIJINAL,inf,1.0000,GÖNDERİLDİ
33,ORIJINAL,inf,1.0000,GÖNDERİLDİ
34,ORIJINAL,inf,1.0000,GÖNDERİLDİ
35,AI_SENTEZ,29.07,0.9757,KURTARILDI
36,ORIJINAL,inf,1.0000,GÖNDERİLDİ
37,ORIJINAL,inf,1.0000,GÖNDERİLDİ
38,ORIJINAL,inf,1.0000,GÖNDERİLDİ
39,ORIJINAL,inf,1.0000,GÖNDERİLDİ
40,ORIJINAL,inf,1.0000,GÖNDERİLDİ
41,ORIJINAL,inf,1.0000,GÖNDERİLDİ
42,ORIJINAL,inf,1.0000,GÖNDERİLDİ
43,ORIJINAL,inf,1.0000,GÖNDERİLDİ
44,ORIJINAL,inf,1.0000,GÖNDERİLDİ
