Kare_No,Eylem,PSNR_dB,SSIM,Tasarruf_Durumu
45,ORIJINAL,inf,1.0000,GÖNDERİLDİ
46,ORIJINAL,inf,1.0000,GÖNDERİLDİ
47,ORIJINAL,inf,1.0000,GÖNDERİLDİ
48,ORIJINAL,inf,1.0000,GÖNDERİLDİ
49,ORIJINAL,inf,1.0000,GÖNDERİLDİ
50,ORIJINAL,inf,1.0000,GÖNDERİLDİ
51,ORIJINAL,inf,1.0000,GÖNDERİLDİ
52,ORIJINAL,inf,1.0000,GÖNDERİLDİ
53,ORIJINAL,inf,1.0000,GÖNDERİLDİ
54,ORIJINAL,inf,1.0000,GÖNDERİLDİ
55,ORIJINAL,inf,1.0000,GÖNDERİLDİ
56,ORIJINAL,inf,1.0000,GÖNDERİLDİ
57,ORIJINAL,inf,1.0000,GÖNDERİLDİ
58,ORIJINAL,inf,1.0000,GÖNDERİLDİ
59,ORIJINAL,inf,1.0000,GÖNDERİLDİ
60,ORIJINAL,inf,1.0000,GÖNDERİLDİ
61,ORIJINAL,inf,1.0000,GÖNDERİLDİ
62,ORIJINAL,inf,1.0000,GÖNDERİLDİ
63,ORIJINAL,inf,1.0000,GÖNDERİLDİ
64,ORIJINAL,inf,1.0000,GÖNDERİLDİ
65,ORIJINAL,inf,1.0000,GÖNDERİLDİ
66,ORIJINAL,inf,1.0000,GÖNDERİLDİ
67,ORIJINAL,inf,1.0000,GÖNDERİLDİ
68,ORIJINAL,inf,1.0000,GÖNDERİLDİ
69,ORIJINAL,inf,1.0000,GÖNDERİLDİ
70,ORIJINAL,inf,1.0000,GÖNDERİLDİ
71,ORIJINAL,inf,1.0000,GÖNDERİLDİ
72,ORIJINAL,inf,1.0000,GÖNDERİLDİ
73,ORIJINAL,inf,1.0000,GÖNDERİLDİ
74,ORIJINAL,inf,1.0000,GÖNDERİLDİ
75,ORIJINAL,inf,1.0000,GÖNDERİLDİ
76,ORIJINAL,inf,1.0000,GÖNDERİLDİ
77,ORIJINAL,inf,1.0000,GÖNDERİLDİ
78,ORIJINAL,inf,1.0000,GÖNDERİLDİ
79,ORIJINAL,inf,1.0000,GÖNDERİLDİ
80,ORIJINAL,inf,1.0000,GÖNDERİLDİ
81,ORIJINAL,inf,1.0000,GÖNDERİLDİ
82,ORIJINAL,inf,1.0000,GÖNDERİLDİ
83,ORIJINAL,inf,1.0000,GÖNDERİLDİ
84,ORIJINAL,inf,1.0000,GÖNDERİLDİ
85,ORIJINAL,inf,1.0000,GÖNDERİLDİ
86,ORIJINAL,inf,1.0000,GÖNDERİLDİ
87,ORIJINAL,inf,1.0000,GÖNDERİLDİ
88,ORIJINAL,inf,1.0000,GÖNDERİLDİ
89,ORIJINAL,inf,1.0000,GÖNDERİLDİ
90,ORIJINAL,inf,1.0000,GÖNDERİLDİ
91,ORIJINAL,inf,1.0000,GÖNDERİLDİ
92,ORIJINAL,inf,1.0000,GÖNDERİLDİ
93,ORIJINAL,inf,1.0000,GÖNDERİLDİ
94,ORIJINAL,inf,1.0000,GÖNDERİLDİ
95,ORIJINAL,inf,1.0000,GÖNDERİLDİ
96,ORIJINAL,inf,1.0000,GÖNDERİLDİ
97,AI_SENTEZ,43.67,0.9935,KURTARILDI
98,ORIJINAL,inf,1.0000,GÖNDERİLDİ
99,AI_SENTEZ,43.63,0.9938,KURTARILDI
100,ORIJINAL,inf,1.0000,GÖNDERİLDİ
101,AI_SENTEZ,43.41,0.9932,KURTARILDI
102,ORIJINAL,inf,1.0000,GÖNDERİLDİ
103,AI_SENTEZ,42.94,0.9937,KURTARILDI
104,ORIJINAL,inf,1.0000,GÖNDERİLDİ
105,ORIJINAL,inf,1.0000,GÖNDERİLDİ
106,ORIJINAL,inf,1.0000,GÖNDERİLDİ
107,ORIJINAL,inf,1.0000,GÖNDERİLDİ
108,ORIJINAL,inf,1.0000,GÖNDERİLDİ
109,AI_SENTEZ,46.05,0.9944,KURTARILDI
110,ORIJINAL,inf,1.0000,GÖNDERİLDİ
111,AI_SENTEZ,46.98,0.9975,KURTARILDI
112,ORIJINAL,inf,1.0000,GÖNDERİLDİ
113,AI_SENTEZ,41.68,0.9930,KURTARILDI
114,ORIJINAL,inf,1.0000,GÖNDERİLDİ
115,ORIJINAL,inf,1.0000,GÖNDERİLDİ
116,ORIJINAL,inf,1.0000,GÖNDERİLDİ
117,ORIJINAL,inf,1.0000,GÖNDERİLDİ
118,AI_SENTEZ,43.89,0.9942,KURTARILDI
119,ORIJINAL,inf,1.0000,GÖNDERİLDİ
120,AI_SENTEZ,44.76,0.9944,KURTARILDI
121,ORIJINAL,inf,1.0000,GÖNDERİLDİ
122,AI_SENTEZ,45.44,0.9943,KURTARILDI
123,ORIJINAL,inf,1.0000,GÖNDERİLDİ
124,AI_SENTEZ,45.59,0.9943,KURTARILDI
125,ORIJINAL,inf,1.0000,GÖNDERİLDİ
126,AI_SENTEZ,46.48,0.9959,KURTARILDI
127,ORIJINAL,inf,1.0000,GÖNDERİLDİ
128,AI_SENTEZ,44.87,0.9945,KURTARILDI
129,ORIJINAL,inf,1.0000,GÖNDERİLDİ
130,AI_SENTEZ,43.51,0.9930,KURTARILDI
131,ORIJINAL,inf,1.0000,GÖNDERİLDİ
132,ORIJINAL,inf,1.0000,GÖNDERİLDİ
133,AI_SENTEZ,43.14,0.9925,KURTARILDI
134,ORIJINAL,inf,1.0000,GÖNDERİLDİ
135,AI_SENTEZ,44.01,0.9943,KURTARILDI
136,ORIJINAL,inf,1.0000,GÖNDERİLDİ
137,ORIJINAL,inf,1.0000,GÖNDERİLDİ
138,ORIJINAL,inf,1.0000,GÖNDERİLDİ
139,AI_SENTEZ,43.59,0.9942,KURTARILDI
140,ORIJINAL,inf,1.0000,GÖNDERİLDİ
141,ORIJINAL,inf,1.0000,GÖNDERİLDİ
142,ORIJINAL,inf,1.0000,GÖNDERİLDİ
143,ORIJINAL,inf,1.0000,GÖNDERİLDİ
144,ORIJINAL,inf,1.0000,GÖNDERİLDİ
145,ORIJINAL,inf,1.0000,GÖNDERİLDİ
146,AI_SENTEZ,45.65,0.9970,KURTARILDI
147,ORIJINAL,inf,1.0000,GÖNDERİLDİ
148,ORIJINAL,inf,1.0000,GÖNDERİLDİ
149,ORIJINAL,inf,1.0000,GÖNDERİLDİ
150,ORIJINAL,inf,1.0000,GÖNDERİLDİ
151,ORIJINAL,inf,1.0000,GÖNDERİLDİ
152,AI_SENTEZ,50.56,0.9974,KURTARILDI
153,ORIJINAL,inf,1.0000,GÖNDERİLDİ
154,AI_SENTEZ,43.61,0.9967,KURTARILDI
155,ORIJINAL,inf,1.0000,GÖNDERİLDİ
156,AI_SENTEZ,41.49,0.9935,KURTARILDI
157,ORIJINAL,inf,1.0000,GÖNDERİLDİ
158,AI_SENTEZ,45.87,0.9957,KURTARILDI
159,ORIJINAL,inf,1.0000,GÖNDERİLDİ
160,AI_SENTEZ,51.47,0.9978,KURTARILDI
161,ORIJINAL,inf,1.0000,GÖNDERİLDİ
162,AI_SENTEZ,46.34,0.9966,KURTARILDI
163,ORIJINAL,inf,1.0000,GÖNDERİLDİ
164,AI_SENTEZ,44.68,0.9955,KURTARILDI
165,ORIJINAL,inf,1.0000,GÖNDERİLDİ
166,ORIJINAL,inf,1.0000,GÖNDERİLDİ
167,ORIJINAL,inf,1.0000,GÖNDERİLDİ
168,AI_SENTEZ,42.05,0.9925,KURTARILDI
169,ORIJINAL,inf,1.0000,GÖNDERİLDİ
170,ORIJINAL,inf,1.0000,GÖNDERİLDİ
171,ORIJINAL,inf,1.0000,GÖNDERİLDİ
172,ORIJINAL,inf,1.0000,GÖNDERİLDİ
173,ORIJINAL,inf,1.0000,GÖNDERİLDİ
174,ORIJINAL,inf,1.0000,GÖNDERİLDİ
175,AI_SENTEZ,35.45,0.9815,KURTARILDI
176,ORIJINAL,inf,1.0000,GÖNDERİLDİ
177,ORIJINAL,inf,1.0000,GÖNDERİLDİ
178,ORIJINAL,inf,1.0000,GÖNDERİLDİ
179,ORIJINAL,inf,1.0000,GÖNDERİLDİ
180,ORIJINAL,inf,1.0000,GÖNDERİLDİ
181,ORIJINAL,inf,1.0000,GÖNDERİLDİ
182,ORIJINAL,inf,1.0000,GÖNDERİLDİ
183,ORIJINAL,inf,1.0000,GÖNDERİLDİ
184,ORIJINAL,inf,1.0000,GÖNDERİLDİ
185,ORIJINAL,inf,1.0000,GÖNDERİLDİ
186,ORIJINAL,inf,1.0000,GÖNDERİLDİ
187,ORIJINAL,inf,1.0000,GÖNDERİLDİ
188,ORIJINAL,inf,1.0000,GÖNDERİLDİ
189,ORIJINAL,inf,1.0000,GÖNDERİLDİ
190,ORIJINAL,inf,1.0000,GÖNDERİLDİ
191,ORIJINAL,inf,1.0000,GÖNDERİLDİ
192,ORIJINAL,inf,1.0000,GÖNDERİLDİ
193,ORIJINAL,inf,1.0000,GÖNDERİLDİ
194,ORIJINAL,inf,1.0000,GÖNDERİLDİ
195,ORIJINAL,inf,1.0000,GÖNDERİLDİ
196,ORIJINAL,inf,1.0000,GÖNDERİLDİ
197,ORIJINAL,inf,1.0000,GÖNDERİLDİ
198,ORIJINAL,inf,1.0000,GÖNDERİLDİ
199,ORIJINAL,inf,1.0000,GÖNDERİLDİ
200,ORIJINAL,inf,1.0000,GÖNDERİLDİ
201,ORIJINAL,inf,1.0000,GÖNDERİLDİ
202,ORIJINAL,inf,1.0000,GÖNDERİLDİ
203,ORIJINAL,inf,1.0000,GÖNDERİLDİ
204,ORIJINAL,inf,1.0000,GÖNDERİLDİ
205,ORIJINAL,inf,1.0000,GÖNDERİLDİ
206,ORIJINAL,inf,1.0000,GÖNDERİLDİ
207,ORIJINAL,inf,1.0000,GÖNDERİLDİ
208,ORIJINAL,inf,1.0000,GÖNDERİLDİ
209,ORIJINAL,inf,1.0000,GÖNDERİLDİ
210,AI_SENTEZ,36.62,0.9835,KURTARILDI
211,ORIJINAL,inf,1.0000,GÖNDERİLDİ
212,ORIJINAL,inf,1.0000,GÖNDERİLDİ
213,ORIJINAL,inf,1.0000,GÖNDERİLDİ
214,ORIJINAL,inf,1.0000,GÖNDERİLDİ
215,AI_SENTEZ,37.29,0.9874,KURTARILDI
216,ORIJINAL,inf,1.0000,GÖNDERİLDİ
217,AI_SENTEZ,39.78,0.9898,KURTARILDI
218,ORIJINAL,inf,1.0000,GÖNDERİLDİ
219,AI_SENTEZ,44.12,0.9946,KURTARILDI
220,ORIJINAL,inf,1.0000,GÖNDERİLDİ
221,AI_SENTEZ,44.55,0.9960,KURTARILDI
222,ORIJINAL,inf,1.0000,GÖNDERİLDİ
223,AI_SENTEZ,44.10,0.9954,KURTARILDI
224,ORIJINAL,inf,1.0000,GÖNDERİLDİ
225,AI_SENTEZ,39.66,0.9924,KURTARILDI
226,AI_SENTEZ,37.61,0.9877,KURTARILDI
227,AI_SENTEZ,35.52,0.9856,KURTARILDI
228,ORIJINAL,inf,1.0000,GÖNDERİLDİ
229,AI_SENTEZ,38.35,0.9902,KURTARILDI
230,ORIJINAL,inf,1.0000,GÖNDERİLDİ
231,AI_SENTEZ,37.16,0.9883,KURTARILDI
232,ORIJINAL,inf,1.0000,GÖNDERİLDİ
233,ORIJINAL,inf,1.0000,GÖNDERİLDİ
234,AI_SENTEZ,37.35,0.9874,KURTARILDI
235,ORIJINAL,inf,1.0000,GÖNDERİLDİ
236,ORIJINAL,inf,1.0000,GÖNDERİLDİ
237,ORIJINAL,inf,1.0000,GÖNDERİLDİ
238,ORIJINAL,inf,1.0000,GÖNDERİLDİ
239,ORIJINAL,inf,1.0000,GÖNDERİLDİ
240,ORIJINAL,inf,1.0000,GÖNDERİLDİ
241,AI_SENTEZ,36.30,0.9879,KURTARILDI
242,ORIJINAL,inf,1.0000,GÖNDERİLDİ
243,AI_SENTEZ,35.85,0.9873,KURTARILDI
244,ORIJINAL,inf,1.0000,GÖNDERİLDİ
245,AI_SENTEZ,35.99,0.9873,KURTARILDI
246,ORIJINAL,inf,1.0000,GÖNDERİLDİ
247,AI_SENTEZ,36.22,0.9877,KURTARILDI
248,ORIJINAL,inf,1.0000,GÖNDERİLDİ
249,AI_SENTEZ,36.51,0.9885,KURTARILDI
250,ORIJINAL,inf,1.0000,GÖNDERİLDİ
251,AI_SENTEZ,37.50,0.9892,KURTARILDI
252,ORIJINAL,inf,1.0000,GÖNDERİLDİ
253,AI_SENTEZ,36.86,0.9879,KURTARILDI
254,ORIJINAL,inf,1.0000,GÖNDERİLDİ
255,AI_SENTEZ,37.87,0.9874,KURTARILDI
256,ORIJINAL,inf,1.0000,GÖNDERİLDİ
257,AI_SENTEZ,37.41,0.9869,KURTARILDI
258,AI_SENTEZ,35.51,0.9840,KURTARILDI
259,AI_SENTEZ,34.20,0.9828,KURTARILDI
260,ORIJINAL,inf,1.0000,GÖNDERİLDİ
261,AI_SENTEZ,38.58,0.9884,KURTARILDI
262,AI_SENTEZ,36.67,0.9846,KURTARILDI
263,AI_SENTEZ,35.12,0.9832,KURTARILDI
264,ORIJINAL,inf,1.0000,GÖNDERİLDİ
265,AI_SENTEZ,43.19,0.9941,KURTARILDI
266,ORIJINAL,inf,1.0000,GÖNDERİLDİ
267,AI_SENTEZ,42.56,0.9927,KURTARILDI
268,ORIJINAL,inf,1.0000,GÖNDERİLDİ
269,AI_SENTEZ,36.56,0.9859,KURTARILDI
270,AI_SENTEZ,33.56,0.9806,KURTARILDI
271,AI_SENTEZ,31.85,0.9753,KURTARILDI
272,AI_SENTEZ,32.05,0.9779,KURTARILDI
273,AI_SENTEZ,31.93,0.9746,KURTARILDI
274,AI_SENTEZ,33.53,0.9783,KURTARILDI
275,AI_SENTEZ,35.77,0.9819,KURTARILDI
276,ORIJINAL,inf,1.0000,GÖNDERİLDİ
277,AI_SENTEZ,37.87,0.9876,KURTARILDI
278,AI_SENTEZ,35.69,0.9826,KURTARILDI
279,AI_SENTEZ,34.16,0.9808,KURTARILDI
280,ORIJINAL,inf,1.0000,GÖNDERİLDİ
281,AI_SENTEZ,39.81,0.9905,KURTARILDI
282,ORIJINAL,inf,1.0000,GÖNDERİLDİ
283,AI_SENTEZ,38.81,0.9894,KURTARILDI
284,ORIJINAL,inf,1.0000,GÖNDERİLDİ
285,ORIJINAL,inf,1.0000,GÖNDERİLDİ
286,ORIJINAL,inf,1.0000,GÖNDERİLDİ
287,AI_SENTEZ,36.86,0.9883,KURTARILDI
288,ORIJINAL,inf,1.0000,GÖNDERİLDİ
289,AI_SENTEZ,36.48,0.9879,KURTARILDI
290,ORIJINAL,inf,1.0000,GÖNDERİLDİ
