Timestamp,Gercek_FPS,Kuyruk_Dolulugu,Durum
10:11:2,20.88,161,OYNATILIYOR
10:11:2,20.58,160,OYNATILIYOR
10:11:2,21.00,159,OYNATILIYOR
10:11:2,20.69,166,OYNATILIYOR
10:11:2,20.46,165,OYNATILIYOR
10:11:2,20.97,164,OYNATILIYOR
10:11:2,20.90,163,OYNATILIYOR
10:11:2,20.75,162,OYNATILIYOR
10:11:2,20.78,165,OYNATILIYOR
10:11:2,21.20,166,OYNATILIYOR
10:11:2,21.28,169,OYNATILIYOR
10:11:2,21.08,168,OYNATILIYOR
10:11:2,20.66,169,OYNATILIYOR
10:11:2,20.68,168,OYNATILIYOR
10:11:2,20.66,170,OYNATILIYOR
10:11:2,20.58,169,OYNATILIYOR
10:11:2,20.82,168,OYNATILIYOR
10:11:2,20.99,167,OYNATILIYOR
10:11:2,20.88,166,OYNATILIYOR
10:11:2,21.09,165,OYNATILIYOR
10:11:2,20.66,164,OYNATILIYOR
10:11:2,20.90,163,OYNATILIYOR
10:11:2,21.21,162,OYNATILIYOR
10:11:2,20.65,161,OYNATILIYOR
10:11:2,20.29,160,OYNATILIYOR
10:11:2,20.10,159,OYNATILIYOR
10:11:2,21.04,158,OYNATILIYOR
10:11:2,21.00,157,OYNATILIYOR
10:11:2,20.53,156,OYNATILIYOR
10:11:2,20.67,155,OYNATILIYOR
10:11:2,20.59,154,OYNATILIYOR
10:11:2,20.55,153,OYNATILIYOR
10:11:2,20.63,152,OYNATILIYOR
10:11:2,20.66,151,OYNATILIYOR
10:11:2,20.72,150,OYNATILIYOR
10:11:2,21.05,149,OYNATILIYOR
10:11:2,21.11,148,OYNATILIYOR
10:11:2,20.73,147,OYNATILIYOR
10:11:2,20.78,146,OYNATILIYOR
10:11:2,20.59,145,OYNATILIYOR
10:11:2,21.15,144,OYNATILIYOR
10:11:2,20.74,143,OYNATILIYOR
10:11:2,20.78,142,OYNATILIYOR
10:11:2,20.94,141,OYNATILIYOR
10:11:2,21.01,140,OYNATILIYOR
10:11:2,20.98,139,OYNATILIYOR
10:11:2,20.75,138,OYNATILIYOR
10:11:2,20.48,137,OYNATILIYOR
10:11:2,20.60,136,OYNATILIYOR
10:11:2,20.41,135,OYNATILIYOR
10:11:2,20.75,134,OYNATILIYOR
10:11:2,20.68,133,OYNATILIYOR
10:11:2,20.86,132,OYNATILIYOR
10:11:2,20.85,131,OYNATILIYOR
10:11:2,20.97,130,OYNATILIYOR
10:11:2,20.97,129,OYNATILIYOR
10:11:2,20.88,128,OYNATILIYOR
10:11:2,20.92,127,OYNATILIYOR
10:11:2,21.16,126,OYNATILIYOR
10:11:2,20.80,125,OYNATILIYOR
10:11:2,20.62,124,OYNATILIYOR
10:11:2,20.64,123,OYNATILIYOR
10:11:2,20.66,122,OYNATILIYOR
10:11:2,20.98,121,OYNATILIYOR
10:11:2,20.78,120,OYNATILIYOR
10:11:2,20.95,119,OYNATILIYOR
10:11:2,20.77,118,OYNATILIYOR
10:11:2,20.84,117,OYNATILIYOR
10:11:2,20.67,116,OYNATILIYOR
10:11:2,20.51,115,OYNATILIYOR
10:11:2,20.67,114,OYNATILIYOR
10:11:2,20.71,113,OYNATILIYOR
10:11:2,20.85,112,OYNATILIYOR
10:11:2,20.72,111,OYNATILIYOR
10:11:2,12.52,110,OYNATILIYOR
10:11:2,21.11,109,OYNATILIYOR
10:11:2,20.99,108,OYNATILIYOR
10:11:2,20.73,107,OYNATILIYOR
10:11:2,20.61,106,OYNATILIYOR
10:11:2,19.82,105,OYNATILIYOR
10:11:2,23.51,104,OYNATILIYOR
10:11:2,23.48,103,OYNATILIYOR
10:11:2,23.00,102,OYNATILIYOR
10:11:2,24.21,101,OYNATILIYOR
10:11:2,23.64,100,OYNATILIYOR
10:11:2,24.02,99,OYNATILIYOR
10:11:2,23.98,98,OYNATILIYOR
10:11:2,23.54,97,OYNATILIYOR
10:11:2,24.01,96,OYNATILIYOR
10:11:2,24.06,95,OYNATILIYOR
10:11:2,23.55,94,OYNATILIYOR
10:11:2,23.79,93,OYNATILIYOR
10:11:2,23.56,92,OYNATILIYOR
10:11:2,23.96,91,OYNATILIYOR
10:11:2,23.79,90,OYNATILIYOR
10:11:2,23.42,89,OYNATILIYOR
10:11:2,23.78,88,OYNATILIYOR
10:11:2,22.79,87,OYNATILIYOR
10:11:2,23.94,86,OYNATILIYOR
10:11:2,23.55,85,OYNATILIYOR
10:11:2,23.35,84,OYNATILIYOR
10:11:2,23.66,83,OYNATILIYOR
10:11:2,24.70,82,OYNATILIYOR
10:11:2,23.97,81,OYNATILIYOR
10:11:2,23.30,80,OYNATILIYOR
10:11:2,24.07,79,OYNATILIYOR
10:11:2,19.72,78,OYNATILIYOR
10:11:2,23.82,77,OYNATILIYOR
10:11:2,23.56,76,OYNATILIYOR
10:11:2,24.02,75,OYNATILIYOR
10:11:2,20.45,74,OYNATILIYOR
10:11:2,21.29,73,OYNATILIYOR
10:11:2,21.05,72,OYNATILIYOR
10:11:2,20.93,71,OYNATILIYOR
10:11:2,21.07,70,OYNATILIYOR
10:11:2,20.86,69,OYNATILIYOR
10:11:2,20.66,68,OYNATILIYOR
10:11:3,20.36,67,OYNATILIYOR
10:11:3,19.61,66,OYNATILIYOR
10:11:3,24.23,65,OYNATILIYOR
10:11:3,23.27,64,OYNATILIYOR
10:11:3,24.62,63,OYNATILIYOR
10:11:3,23.01,62,OYNATILIYOR
10:11:3,23.20,61,OYNATILIYOR
10:11:3,23.53,60,OYNATILIYOR
10:11:3,23.89,59,OYNATILIYOR
10:11:3,23.58,58,OYNATILIYOR
10:11:3,23.54,57,OYNATILIYOR
10:11:3,23.44,56,OYNATILIYOR
10:11:3,23.85,55,OYNATILIYOR
10:11:3,23.26,54,OYNATILIYOR
10:11:3,23.09,53,OYNATILIYOR
10:11:3,24.02,52,OYNATILIYOR
10:11:3,23.82,51,OYNATILIYOR
10:11:3,23.67,50,OYNATILIYOR
